page|200
项目|附注七|2021 年度|2020 年度
一、营业总收入||1,147,089,656.34|1,133,583,828.92
其中：营业收入|61|1,147,089,656.34|1,133,583,828.92
利息收入||-|-
已赚保费||-|-
手续费及佣金收入||-|-
二、营业总成本||1,412,660,944.63|1,333,266,481.48
其中：营业成本|61|1,017,215,994.05|994,587,954.93
利息支出||-|-
手续费及佣金支出||-|-
退保金||-|-
赔付支出净额||-|-
提取保险责任准备金净额||-|-
保单红利支出||-|-
分保费用||-|-
税金及附加|62|4,720,908.70|5,228,316.22
销售费用|63|73,952,966.98|62,950,868.90
管理费用|64|187,374,546.63|182,849,846.02
研发费用|65|111,179,815.44|77,349,077.54
财务费用|66|18,216,712.83|10,300,417.87
其中：利息费用|66|20,186,215.84|14,365,443.49
利息收入|66|10,878,909.82|3,277,783.63
加：其他收益|67|45,137,911.14|58,342,497.39
page|201
投资收益（损失以“－”号填列）|68|20,539,207.31|3,722,914.88
其中：对联营企业和合营企业的投资收益|68|129,464.06|-869,049.25
以摊余成本计量的金融资产终止确认收益||-|-
汇兑收益（损失以“－”号填列）||-|-
净敞口套期收益（损失以“-”号填列）||-|-
公允价值变动收益（损失以“－”号填列）|70|89,650,233.12|94,355,758.89
信用减值损失（损失以“-”号填列）|71|-44,011,476.10|-33,088,331.59
资产减值损失（损失以“-”号填列）|72|-72,943,804.56|-122,237,210.14
资产处置收益（损失以“－”号填列）|73|151,020.85|-42,150.37
三、营业利润（亏损以“－”号填列）||-227,048,196.53|-198,629,173.50
加：营业外收入|74|2,081,647.50|5,967,311.04
减：营业外支出|75|4,844,807.43|3,649,989.18
四、利润总额（亏损总额以“－”号填列）||-229,811,356.46|-196,311,851.64
减：所得税费用|76|-37,041,647.43|-25,800,783.72
五、净利润（净亏损以“－”号填列）||-192,769,709.03|-170,511,067.92
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-192,769,709.03|-170,511,067.92
2.终止经营净利润（净亏损以“－”号填列）||-|-
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-193,422,882.07|-168,984,523.14
2.少数股东损益（净亏损以“-”号填列）||653,173.04|-1,526,544.78
六、其他综合收益的税后净额||-62,320,044.25|-55,494,907.70
（一）归属母公司所有者的其他综合收益的税后净额||-62,320,044.25|-55,432,952.74
1．不能重分类进损益的其他综合收益||12,913,368.60|-116,798.57
page|202
（1）重新计量设定受益计划变动额||3,008,337.41|-116,798.57
（2）权益法下不能转损益的其他综合收益||-|-
（3）其他权益工具投资公允价值变动||9,905,031.19|-
（4）企业自身信用风险公允价值变动||-|-
2．将重分类进损益的其他综合收益||-75,233,412.85|-55,316,154.17
（1）权益法下可转损益的其他综合收益||-4,161,229.21|-1,018,861.87
（2）其他债权投资公允价值变动||-|-
（3）金融资产重分类计入其他综合收益的金额||-|-
（4）其他债权投资信用减值准备||-|-
（5）现金流量套期储备||-|-
（6）外币财务报表折算差额||-71,072,183.64|-54,297,292.30
（7）其他||-|-
（二）归属于少数股东的其他综合收益的税后净额||-|-61,954.96
七、综合收益总额||-255,089,753.28|-226,005,975.62
（一）归属于母公司所有者的综合收益总额||-255,742,926.32|-224,417,475.88
（二）归属于少数股东的综合收益总额||653,173.04|-1,588,499.74
八、每股收益：|||
（一）基本每股收益(元/股)||-0.37|-0.38
（二）稀释每股收益(元/股)||-0.37|-0.38
