page|82
项目|附注|2020 年度|2019 年度
一、营业总收入||6,314,792,845.84|11,529,506,164.31
其中：营业收入|六、61|6,314,792,845.84|11,529,506,164.31
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||8,840,694,868.89|11,274,470,099.58
其中：营业成本|六、61|4,373,270,721.15|7,341,823,550.43
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|六、62|990,721,824.61|1,341,511,542.24
销售费用|六、63|173,127,732.73|178,086,500.70
管理费用|六、64|596,396,452.74|641,796,980.61
研发费用|六、65|6,473,988.49|
财务费用|六、66|2,700,704,149.17|1,771,251,525.60
其中：利息费用||3,238,514,728.61|2,061,675,899.28
利息收入||621,209,138.44|333,820,942.21
加：其他收益|六、67|190,128,592.29|952,385,633.64
|投资收益（损失以“－”号填列）  六、68|-3,016,191,107.46|-258,617,202.59
其中：对联营企业和合营企业的投资收益||-5,180,316,111.58|-230,553,541.26
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|83
公允价值变动收益（损失以“－”号填列）|六、70|-321,656,964.29|-44,526,270.02
信用减值损失（损失以“-”号填列）|六、71|-3,007,158,165.23|-1,889,881,456.68
资产减值损失（损失以“-”号填列）|六、72|-466,643,793.95|-314,157,060.45
资产处置收益（损失以“－”号填列）|六、73|22,344,563.16|43,150,373.87
三、营业利润（亏损以“－”号填列）||-9,125,078,898.53|-1,256,609,917.50
加：营业外收入|六、74|11,982,978.95|6,715,291.98
减：营业外支出|六、75|970,791,421.69|181,252,381.69
四、利润总额（亏损总额以“－”号填列）||-10,083,887,341.27|-1,431,147,007.21
减：所得税费用|六、76|-433,821,573.37|356,241,344.43
五、净利润（净亏损以“－”号填列）||-9,650,065,767.90|-1,787,388,351.64
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-9,650,065,767.90|-1,787,388,351.64
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-7,736,830,872.54|-1,515,160,208.52
2.少数股东损益（净亏损以“-”号填列）||-1,913,234,895.36|-272,228,143.12
六、其他综合收益的税后净额||-9,414,476,010.49|-2,479,692,449.58
（一）归属母公司所有者的其他综合收益的税后净额||-8,337,650,278.33|-2,537,349,057.11
1．不能重分类进损益的其他综合收益||-8,188,138,419.42|-2,549,271,579.58
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-8,188,138,419.42|-2,549,271,579.58
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-149,511,858.91|11,922,522.47
（1）权益法下可转损益的其他综合收益||-284,253,607.42|-607,216,710.67
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-41,396,141.41|65,982,111.01
（7）其他||176,137,889.92|553,157,122.13
其中：自用房地产或存货转换为以公允价值模式计量的投资性房地产转换日公允价值大于账面价值部分||176,137,889.92|553,157,122.13
（二）归属于少数股东的其他综合收益的税后净额||-1,076,825,732.16|57,656,607.53
page|84
七、综合收益总额||-19,064,541,778.39|-4,267,080,801.22
（一）归属于母公司所有者的综合收益总额||-16,074,481,150.87|-4,052,509,265.63
（二）归属于少数股东的综合收益总额||-2,990,060,627.52|-214,571,535.59
八、每股收益：|||
（一）基本每股收益(元/股)|十七、2|-1.9799|-0.3877
（二）稀释每股收益(元/股)|十七、2|-1.9799|-0.3877
