page|132
第十章 财务报告招商银行股份有限公司|||
2020年度报告（A股）|||
合并资产负债表|||
2020年12月31日|||
单位 ：人民币百万元|||
||2020年|2019年
项目|附注|12月31日|12月31日
资产|||
现金||13,088|15,306
贵金属||7,970|4,094
存放中央银行款项|5|525,358|552,590
存放同业和其他金融机构款项|6|103,335|106,113
拆出资金|7|226,919|307,433
买入返售金融资产|8|286,262|108,961
贷款和垫款|9|4,804,361|4,277,300
衍生金融资产|57(f)|47,272|24,219
金融投资 ：||2,068,695|1,804,437
以公允价值计量且其变动计入当期损益的金融投资|10|495,723|398,276
以摊余成本计量的金融投资|11|1,049,280|921,228
以公允价值计量且其变动计入其他综合收益的债务工具投资|12|516,553|478,856
指定为以公允价值计量且其变动计入其他综合收益的权益工具投资|13|7,139|6,077
长期股权投资|14|14,922|10,784
投资性房地产|15|1,623|1,925
固定资产|16|68,153|65,269
使用权资产|17(a)|14,156|14,862
无形资产|18|9,711|9,713
商誉|19|9,954|9,954
递延所得税资产|20|72,893|65,151
其他资产|21|86,776|39,129
资产合计||8,361,448|7,417,240
负债|||
向中央银行借款||331,622|359,175
同业和其他金融机构存放款项|23|723,402|555,581
拆入资金|24|143,517|165,921
以公允价值计量且其变动计入当期损益的金融负债|25|60,351|43,434
衍生金融负债|57(f)|50,061|23,200
卖出回购金融资产款|26|142,927|63,233
客户存款|27|5,664,135|4,874,981
应付职工薪酬|28(a)|15,462|11,638
应交税费|29|18,648|19,069
合同负债|30|6,829|6,488
租赁负债|17(b)|14,242|14,379
预计负债|31|8,229|6,109
应付债券|32|346,141|578,191
递延所得税负债|20|1,073|956
其他负债|33|104,455|77,178
负债合计||7,631,094|6,799,533
附注为财务报表的组成部分|||
page|133
招商银行股份有限公司|||
2020年度报告（A股）|||
||2020年|2019年
项目|附注|12月31日|12月31日
股东权益|||
股本|34|25,220|25,220
其他权益工具||84,054|34,065
其中 ：优先股|35(a)|34,065|34,065
永续债|35(b)|49,989|–
资本公积|36|67,523|67,523
其他综合收益|37|7,448|10,441
盈余公积|38|71,158|62,291
一般风险准备|39|98,082|90,151
未分配利润|40(c)|370,265|321,610
其中 ：建议分配利润|40(b)|31,601|30,264
归属于本行股东权益合计||723,750|611,301
少数股东权益||6,604|6,406
其中 ：普通少数股东权益||2,851|2,427
永久性债务资本|61(a)|3,753|3,979
股东权益合计||730,354|617,707
股东权益及负债总计||8,361,448|7,417,240
