page|86
项目|附 注|2020年度|2019年度
一、营业总收入||2,982,152,998.62|5,374,993,646.97
其中：营业收入|61|2,982,152,998.62|5,374,993,646.97
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,948,812,209.84|5,195,078,751.54
其中：营业成本|61|2,668,526,614.80|4,823,910,253.58
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|8,025,408.24|11,681,652.19
销售费用|63|105,616,804.21|116,203,402.01
管理费用|64|178,430,582.22|260,338,915.11
研发费用|||
财务费用|66|-11,787,199.63|-17,055,471.35
其中：利息费用||1,159,536.32|88,855.73
利息收入||10,425,044.66|10,281,630.64
加：其他收益|67|17,796,311.57|21,427,530.94
投资收益（损失以“－”号填列）|68|147,571,141.92|92,740,733.75
其中：对联营企业和合营企业的投资收益||22,579,639.12|21,674,296.07
以摊余成本计量的金融资产终止确认收益||2,908,776.91|1,412,791.46
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|70|-7,427,423.03|133,334,919.40
信用减值损失（损失以“-”号填列）|71|-5,609,703.63|-10,057,635.44
资产减值损失（损失以“-”号填列）|72|1,415,534.29|-196,766.12
资产处置收益（损失以“－”号填列）|73|31,708.58|343,792.26
三、营业利润（亏损以“－”号填列）||187,118,358.48|417,507,470.22
加：营业外收入|74|21,060.65|16,947,943.97
减：营业外支出|75|476,778.26|3,725,960.21
page|87
四、利润总额（亏损总额以“－”号填列）||186,662,640.87|430,729,453.98
减：所得税费用|76|42,046,855.31|99,425,196.79
五、净利润（净亏损以“－”号填列）||144,615,785.56|331,304,257.19
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||130,008,597.19|318,052,477.95
2.终止经营净利润（净亏损以“－”号填列）||14,607,188.37|13,251,779.24
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||138,353,680.40|313,017,236.22
2.少数股东损益（净亏损以“-”号填列）||6,262,105.16|18,287,020.97
六、其他综合收益的税后净额||-140,165,876.73|540,774,569.85
（一）归属母公司所有者的其他综合收益的税后净额||-140,165,876.73|540,774,569.85
1．不能重分类进损益的其他综合收益||-140,165,876.73|540,774,569.85
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-140,165,876.73|540,774,569.85
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||4,449,908.83|872,078,827.04
（一）归属于母公司所有者的综合收益总额||-1,812,196.33|853,791,806.07
（二）归属于少数股东的综合收益总额||6,262,105.16|18,287,020.97
八、每股收益：|||
（一）基本每股收益(元/股)||0.258|0.584
（二）稀释每股收益(元/股)||0.258|0.584
