page|71
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,415,316,717.31|4,598,096,340.91
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||14,058,697.65|15,763,297.63
收到其他与经营活动有关的现金||75,312,241.69|69,674,850.28
经营活动现金流入小计||5,504,687,656.65|4,683,534,488.82
购买商品、接受劳务支付的现金||3,806,739,989.86|3,210,963,289.30
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||562,259,149.29|391,380,363.02
支付的各项税费||193,779,880.83|216,704,354.48
支付其他与经营活动有关的现金||167,400,201.59|187,343,751.19
经营活动现金流出小计||4,730,179,221.57|4,006,391,757.99
经营活动产生的现金流量净额||774,508,435.08|677,142,730.83
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||17,142,730.87|31,190,714.94
处置固定资产、无形资产和其他长期资产收回的现金净额||1,022,841.76|1,531,573.80
处置子公司及其他营业单位收到的现金净额|77（3）||
收到其他与投资活动有关的现金|||-     20,000,000.00
投资活动现金流入小计||18,165,572.63|52,722,288.74
购建固定资产、无形资产和其他长期资产支付的现金||388,519,424.88|369,746,140.64
投资支付的现金||4,900,000.00|45,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|77（2）|11,741,281.69|
page|72
支付其他与投资活动有关的现金||930,800,000.00|
投资活动现金流出小计||1,335,960,706.57|414,746,140.64
投资活动产生的现金流量净额||-1,317,795,133.94|-362,023,851.90
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||905,966,100.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||40,000,000.00|30,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||945,966,100.00|30,000,000.00
偿还债务支付的现金||33,318,254.18|2,435,863.68
分配股利、利润或偿付利息支付的现金||135,946,894.42|275,273,823.88
其中：子公司支付给少数股东的股利、利润||28,392,000.00|12,480,000.00
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||169,265,148.60|277,709,687.56
筹资活动产生的现金流量净额||776,700,951.40|-247,709,687.56
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额|77（4）|233,414,252.54|67,409,191.37
加：期初现金及现金等价物余额||847,253,028.71|779,843,837.34
六、期末现金及现金等价物余额||1,080,667,281.25|847,253,028.71
