page|67
项目|附注七|2019 年度|2018 年度
一、营业总收入|59|4,818,531,347.54|4,428,794,808.40
其中：营业收入||4,818,531,347.54|4,428,794,808.40
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|59|4,330,605,895.55|3,965,100,531.02
其中：营业成本||3,804,627,547.08|3,491,928,137.42
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|60|22,193,950.68|22,042,497.40
销售费用|61|316,852,129.90|275,001,012.66
管理费用|62|168,055,365.45|161,833,674.20
研发费用|63|31,889,184.43|24,635,653.97
财务费用|64|-13,012,281.99|-10,340,444.63
其中：利息费用||2,388,961.71|819,307.23
利息收入||15,686,320.84|11,923,105.81
加：其他收益|65|29,284,661.23|29,545,695.67
page|68
投资收益（损失以“－”号填列）|66|44,226,844.22|45,839,354.14
其中：对联营企业和合营企业的投资收益||43,374,344.22|43,339,354.14
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|67||
公允价值变动收益（损失以“－”号填列）|68||
信用减值损失（损失以“-”号填列）|69|-213,587.91|
资产减值损失（损失以“-”号填列）|70|-3,613,141.18|-6,179,163.39
资产处置收益（损失以“－”号填列）|71|-900,479.88|-300,139.24
三、营业利润（亏损以“－”号填列）||556,709,748.47|532,600,024.56
加：营业外收入|72|20,022,173.00|19,594,662.25
减：营业外支出|73|463,701.69|512,422.50
四、利润总额（亏损总额以“－”号填列）||576,268,219.78|551,682,264.31
减：所得税费用|74|78,396,006.71|78,148,165.69
五、净利润（净亏损以“－”号填列）||497,872,213.07|473,534,098.62
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||497,872,213.07|473,534,098.62
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||451,161,320.70|427,392,647.20
2.少数股东损益（净亏损以“-”号填列）||46,710,892.37|46,141,451.42
六、其他综合收益的税后净额|75||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
page|69
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||497,872,213.07|473,534,098.62
（一）归属于母公司所有者的综合收益总额||451,161,320.70|427,392,647.20
（二）归属于少数股东的综合收益总额||46,710,892.37|46,141,451.42
八、每股收益：|||
（一）基本每股收益(元/股)||0.56|0.53
（二）稀释每股收益(元/股)||0.56|0.53
