page|63
项目|附注七|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|2,016,800,470.95|858,038,680.14
结算备付金|||
拆出资金|||
交易性金融资产|2||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|3||
应收票据|4||
应收账款|5|170,692,253.78|195,732,308.07
应收款项融资|6|2,238,203.00|
预付款项|7|217,969,885.53|197,448,741.58
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|38,048,310.41|31,232,981.67
其中：应收利息||3,357,500.00|1,050,000.00
应收股利|||
买入返售金融资产|||
存货|9|351,726,779.13|306,671,310.67
持有待售资产|10||
一年内到期的非流动资产|11|777,727.63|763,686.59
其他流动资产|12|60,672,714.48|55,273,002.99
流动资产合计||2,858,926,344.91|1,645,160,711.71
非流动资产：|||
发放贷款和垫款|||
债权投资|13||
可供出售金融资产|||20,295,776.62
其他债权投资|14||
持有至到期投资|||
长期应收款|15|3,091,670.70|3,769,361.99
长期股权投资|16|268,003,026.23|235,419,037.46
其他权益工具投资|17|20,295,776.62|
其他非流动金融资产|18||
投资性房地产|19|36,076,741.65|39,380,634.66
固定资产|20|2,658,056,871.39|2,259,442,393.79
在建工程|21|508,656,402.11|653,645,481.25
生产性生物资产|22||
油气资产|23||
使用权资产|24||
无形资产|25|273,719,115.08|284,948,143.29
开发支出|26||
page|64
商誉|27|13,332,948.49|
长期待摊费用|28|18,906,592.69|16,234,292.75
递延所得税资产|29|16,655,767.60|13,345,159.52
其他非流动资产|30|19,346,653.81|15,336,924.12
非流动资产合计||3,836,141,566.37|3,541,817,205.45
资产总计||6,695,067,911.28|5,186,977,917.16
流动负债：|||
短期借款|31|40,000,000.00|30,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|32||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|33||
应付票据|34|60,570,932.48|51,324,561.65
应付账款|35|1,256,577,972.66|1,157,653,651.14
预收款项|36|844,468,893.52|750,814,886.52
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|37|181,257,590.97|184,377,506.23
应交税费|38|18,916,312.20|22,034,084.75
其他应付款|39|325,931,902.38|353,419,008.93
其中：应付利息||917,650.64|333,583.35
应付股利||82,750,224.00|121,381,824.00
应付手续费及佣金|||
应付分保账款|||
持有待售负债|40||
一年内到期的非流动负债|41|2,533,674.75|2,543,983.86
其他流动负债|42||
流动负债合计||2,730,257,278.96|2,552,167,683.08
非流动负债：|||
保险合同准备金|||
长期借款|43|236,177,048.46|239,566,509.91
应付债券|44||
其中：优先股|||
永续债|||
租赁负债|45||
长期应付款|46|397,160.00|397,160.00
长期应付职工薪酬|47||
预计负债|48||
递延收益|49|116,495,279.01|114,583,860.41
递延所得税负债||17,369,976.80|1,496,681.65
其他非流动负债|50||
非流动负债合计||370,439,464.27|356,044,211.97
负债合计||3,100,696,743.23|2,908,211,895.05
所有者权益（或股东权益）：|||
page|65
实收资本（或股本）|51|888,890,000.00|800,000,000.00
其他权益工具|52||
其中：优先股|||
永续债|||
资本公积|53|1,327,920,340.88|510,844,240.88
减：库存股|54||
其他综合收益|55||
专项储备|56|6,778,583.80|4,927,187.28
盈余公积|57|154,011,468.46|89,059,611.61
一般风险准备|||
未分配利润|58|1,061,652,722.68|675,443,258.83
归属于母公司所有者权益（或股东权益）合计||3,439,253,115.82|2,080,274,298.60
少数股东权益||155,118,052.23|198,491,723.51
所有者权益（或股东权益）合计||3,594,371,168.05|2,278,766,022.11
负债和所有者权益（或股东权益）总计||6,695,067,911.28|5,186,977,917.16
