page|74
|合并现金流量表||
编制单位：广东风华高新科技股份有限公司|||单位：  元
项            目|附注|2020 年度|2019 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,271,949,654.36|3,081,706,553.02
收到的税费返还||643,955.31|4,359,835.09
收到其他与经营活动有关的现金|六、56|332,447,290.25|282,200,561.09
经营活动现金流入小计||3,605,040,899.92|3,368,266,949.20
购买商品、接受劳务支付的现金||1,643,943,006.24|1,220,819,346.01
支付给职工以及为职工支付的现金||762,560,091.04|739,029,748.69
支付的各项税费||258,917,427.78|390,507,322.27
支付其他与经营活动有关的现金|六、56|274,027,927.20|225,277,839.39
经营活动现金流出小计||2,939,448,452.26|2,575,634,256.36
经营活动产生的现金流量净额||665,592,447.66|792,632,692.84
二、投资活动产生的现金流量：|||
收回投资收到的现金||433,000,000.00|1,555,871,688.76
取得投资收益收到的现金||37,552,060.03|33,442,190.83
处置固定资产、无形资产和其他长期资产收回的现金净额||345,500.00|268,752.74
收到其他与投资活动有关的现金|六、56|9,076,722.14|311,041.50
投资活动现金流入小计||479,974,282.17|1,589,893,673.83
购建固定资产、无形资产和其他长期资产支付的现金||1,256,577,413.58|226,778,438.39
投资支付的现金||89,500,000.00|1,505,501,788.76
支付其他与投资活动有关的现金|六、56||33,208,394.26
投资活动现金流出小计||1,346,077,413.58|1,765,488,621.41
投资活动产生的现金流量净额||-866,103,131.41|-175,594,947.58
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
取得借款收到的现金||780,643,952.60|35,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||780,643,952.60|35,000,000.00
偿还债务支付的现金||61,000,000.00|86,600,006.00
分配股利、利润或偿付利息支付的现金||15,098,170.92|272,596,935.37
支付其他与筹资活动有关的现金|六、56||503,509.05
筹资活动现金流出小计||76,098,170.92|359,700,450.42
筹资活动产生的现金流量净额||704,545,781.68|-324,700,450.42
四、汇率变动对现金的影响||-3,403,543.76|-337,800.61
五、现金及现金等价物净增加额||500,631,554.17|291,999,494.23
加：期初现金及现金等价物余额||1,451,219,196.10|1,159,219,701.87
六、期末现金及现金等价物余额||1,951,850,750.27|1,451,219,196.10
