page|72
|合并利润表||
编制单位：广东风华高新科技股份有限公司|||单位：人民币元
项            目|附注|2020 年度|2019 年度
一、营业总收入||4,331,979,621.51|3,293,174,130.40
其中：营业收入|六、40|4,331,979,621.51|3,293,174,130.40
二、营业总成本||3,665,766,895.80|2,957,026,913.14
其中：营业成本|六、40|3,047,541,365.91|2,503,357,949.56
税金及附加|六、41|34,893,070.26|34,795,718.16
销售费用|六、42|61,037,875.13|76,303,472.01
管理费用|六、43|328,903,229.09|228,106,090.33
研发费用|六、44|230,269,983.65|143,628,349.86
财务费用|六、45|-36,878,628.24|-29,164,666.78
其中：利息费用||13,931,259.03|4,549,413.40
利息收入||57,926,243.07|33,842,490.61
加：其他收益|六、46|124,126,040.04|62,227,175.52
投资收益（损失以“-”号填列）|六、47|48,983,334.56|70,740,842.63
其中：对联营企业和合营企业的投资收益||36,888,713.08|42,997,078.58
公允价值变动收益（损失以“-”号填列）|六、48|72,049.74|
信用减值损失（损失以“-”号填列）|六、49|-18,727,643.95|10,843,742.98
资产减值损失（损失以“-”号填列）|六、50|-125,580,919.44|-87,652,561.58
资产处置收益（损失以“-”号填列）|六、51|813,836.98|538,004.72
三、营业利润（亏损以“-”号填列）||695,899,423.64|392,844,421.53
加：营业外收入|六、52|4,507,931.65|3,688,557.09
减：营业外支出|六、53|233,560,814.22|5,632,615.09
四、利润总额（亏损总额以“-”号填列）||466,846,541.07|390,900,363.53
减：所得税费用|六、54|94,355,911.68|42,673,952.54
五、净利润（净亏损以“-”号填列）||372,490,629.39|348,226,410.99
（一）按经营持续性分类：|||
1.持续经营净利润（净亏损以“-”号填列）||372,490,629.39|348,226,410.99
2.终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类：|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||358,709,137.02|338,849,751.64
2.少数股东损益（净亏损以“-”号填列）||13,781,492.37|9,376,659.35
page|73
项            目|附注|2020 年度|2019 年度
六、其他综合收益的税后净额|六、37|52,846,722.83|41,054,336.76
（一）归属于母公司股东的其他综合收益的税后净额||52,846,722.83|41,054,336.76
1.不能重分类进损益的其他综合收益||53,123,121.96|34,133,108.20
（1）其他权益工具投资公允价值变动||53,123,121.96|34,133,108.20
2.将重分类进损益的其他综合收益||-276,399.13|6,921,228.56
（1）权益法下可转损益的其他综合收益||-257,607.52|589,933.01
（2）可供出售金融资产公允价值变动损益|||
（3）外币财务报表折算差额||-18,791.61|6,331,295.55
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||425,337,352.22|389,280,747.75
（一）归属于母公司股东的综合收益总额||411,555,859.85|379,904,088.40
（二）归属于少数股东的综合收益总额||13,781,492.37|9,376,659.35
八、每股收益：|||
（一）基本每股收益（元/股）||0.40|0.38
（二）稀释每股收益（元/股）||0.40|0.38
