page|115
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||14,730,432,054.60|12,950,923,767.81
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||114,324,263.77|69,529,438.26
收到其他与经营活动有关的现金|78|102,379,824.05|31,297,942.96
经营活动现金流入小计||14,947,136,142.42|13,051,751,149.03
购买商品、接受劳务支付的现金||8,952,146,341.83|7,780,274,875.69
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||702,328,303.25|610,160,007.56
支付的各项税费||759,878,620.75|544,817,735.65
支付其他与经营活动有关的现金|78|200,141,709.64|217,988,066.42
经营活动现金流出小计||10,614,494,975.47|9,153,240,685.32
page|116
经营活动产生的现金流量净额|79|4,332,641,166.95|3,898,510,463.71
二、投资活动产生的现金流量：|||
收回投资收到的现金|||66,219,474.14
取得投资收益收到的现金||176,556,122.74|175,330,352.84
处置固定资产、无形资产和其他长期资产收回的现金净额||675,641.30|364,966.13
处置子公司及其他营业单位收到的现金净额||3,921,600.00|
收到其他与投资活动有关的现金|78|880,000,000.00|
投资活动现金流入小计||1,061,153,364.04|241,914,793.11
购建固定资产、无形资产和其他长期资产支付的现金||7,946,029,826.58|9,860,264,202.28
投资支付的现金||307,035,600.00|183,950,800.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||19,372,859.56|
增加已质押的银行存款和其他使用受限的货币资金||80,260,928.59|11,726,165.07
支付其他与投资活动有关的现金|78|19,854,284.47|
投资活动现金流出小计||8,372,553,499.20|10,055,941,167.35
投资活动产生的现金流量净额||-7,311,400,135.16|-9,814,026,374.24
三、筹资活动产生的现金流量：|||
发行股份募集的资金||4,545,055,183.47|400,203,113.21
吸收投资收到的现金||381,200,000.00|481,032,731.00
其中：子公司吸收少数股东投资收到的现金||381,200,000.00|481,032,731.00
发行其他权益工具收到的现金||1,039,376,000.00|
取得借款收到的现金||14,277,699,084.39|14,896,778,854.11
收到其他与筹资活动有关的现金|78|40,527,754.65|266,678,143.26
筹资活动现金流入小计||20,283,858,022.51|16,044,692,841.58
偿还债务支付的现金||8,694,833,622.52|8,155,095,284.78
分配股利、利润或偿付利息支付的现金||2,178,113,096.39|2,118,169,282.42
其中：子公司支付给少数股东的股利、利润||212,909,741.47|305,989,953.16
赎回其他权益工具支付的现金||590,000,000.00|
支付其他与筹资活动有关的现金|78|171,533,649.51|332,976,888.21
筹资活动现金流出小计||11,634,480,368.42|10,606,241,455.41
筹资活动产生的现金流量净额||8,649,377,654.09|5,438,451,386.17
page|117
四、汇率变动对现金及现金等价物的影响||-975,417.05|6,297,742.52
五、现金及现金等价物净增加额|79|5,669,643,268.83|-470,766,781.84
加：期初现金及现金等价物余额|79|1,863,441,446.73|2,334,208,228.57
六、期末现金及现金等价物余额|79|7,533,084,715.56|1,863,441,446.73
