page|111
项目|附注七|2021 年度|2020 年度
一、营业总收入||15,985,268,252.01|12,510,885,312.89
其中：营业收入|61|15,985,268,252.01|12,510,885,312.89
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||13,253,916,958.66|10,613,744,098.65
其中：营业成本|61|11,233,945,477.61|9,100,644,582.09
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|53,779,961.58|33,861,898.47
销售费用|63|3,108,585.99|1,985,327.57
管理费用|64|675,455,283.69|528,112,484.93
研发费用|65|72,022,183.84|36,417,584.20
财务费用|66|1,215,605,465.95|912,722,221.39
其中：利息费用||1,228,640,406.46|925,256,193.42
利息收入||24,269,705.78|17,976,867.30
加：其他收益|67|119,637,593.45|74,524,487.85
投资收益（损失以“－”号填列）|68|295,942,038.83|266,424,598.45
其中：对联营企业和合营企业的投资收益||281,785,663.87|254,015,712.80
page|112
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|71|-22,297,770.78|69,900,742.39
资产减值损失（损失以“-”号填列）|72|-7,040,492.38|-55,773,051.65
资产处置收益（损失以“－”号填列）|73|236,353.08|260,932.94
三、营业利润（亏损以“－”号填列）||3,117,829,015.55|2,252,478,924.22
加：营业外收入|74|25,991,330.46|13,099,850.88
减：营业外支出|75|15,580,472.94|1,562,460.91
四、利润总额（亏损总额以“－”号填列）||3,128,239,873.07|2,264,016,314.19
减：所得税费用|76|416,611,131.47|331,284,660.61
五、净利润（净亏损以“－”号填列）||2,711,628,741.60|1,932,731,653.58
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,711,628,741.60|1,932,731,653.58
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||2,160,133,969.16|1,510,555,357.16
2.少数股东损益（净亏损以“-”号填列）||551,494,772.44|422,176,296.42
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
page|113
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||2,711,628,741.60|1,932,731,653.58
（一）归属于母公司所有者的综合收益总额||2,160,133,969.16|1,510,555,357.16
（二）归属于少数股东的综合收益总额||551,494,772.44|422,176,296.42
八、每股收益：|||
（一）基本每股收益(元/股)||0.54|0.38
（二）稀释每股收益(元/股)||0.54|0.38
