page|107
项目|附注七|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|1|7,648,396,983.55|1,898,492,786.13
其中：存放财务公司款项||3,115,853,047.06|1,649,456,969.69
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|||
应收账款|5|6,657,415,202.23|4,866,274,731.98
应收款项融资|6|494,976,373.69|420,392,697.68
预付款项|7|161,631,341.92|380,771,646.27
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|135,599,831.17|94,391,151.51
其中：应收利息|||
应收股利||94,765,961.18|44,158,212.59
买入返售金融资产|||
存货|9|214,186,265.69|58,109,933.28
合同资产|||
持有待售资产|11|12,373,484.60|
一年内到期的非流动资产|||
其他流动资产|13|681,347,576.94|915,759,257.54
流动资产合计||16,005,927,059.79|8,634,192,204.39
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|16|41,133,817.83|
长期股权投资|17|3,058,088,144.23|2,476,150,375.02
其他权益工具投资|18|218,605,700.00|218,605,700.00
其他非流动金融资产|||
投资性房地产|20|26,032,201.48|27,137,369.92
固定资产|21|32,220,077,891.90|25,617,692,590.53
在建工程|22|13,714,572,817.36|13,983,364,988.28
生产性生物资产|||
油气资产|||
使用权资产|25|2,017,852,925.66|1,981,077,101.98
无形资产|26|2,151,290,713.14|2,197,732,480.00
开发支出|27|27,227,806.35|12,425,222.01
商誉|28|55,450,878.54|39,411,613.25
page|108
长期待摊费用|29|37,147,692.06|41,078,690.75
递延所得税资产|30|186,877,995.35|175,129,816.42
其他非流动资产|31|2,157,471,147.28|1,853,716,395.86
非流动资产合计||55,911,829,731.18|48,623,522,344.02
资产总计||71,917,756,790.97|57,257,714,548.41
流动负债：|||
短期借款|32|1,978,114,966.89|1,220,742,600.37
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|35|14,738,449.62|4,516,529.53
应付账款|36|458,031,776.88|176,947,893.06
预收款项|37|778,761,061.94|
合同负债|38|1,654,191,386.15|1,580,107,357.02
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|39|79,033,920.95|92,086,286.31
应交税费|40|159,169,763.37|136,079,970.92
其他应付款|41|7,016,558,174.65|6,133,744,755.20
其中：应付利息|||
应付股利||169,836,057.78|172,358,689.75
应付手续费及佣金|||
应付分保账款|||
持有待售负债|42|7,859,895.72|
一年内到期的非流动负债|43|4,211,344,922.30|3,691,634,649.12
其他流动负债|44|704,107,945.21|500,000,000.00
流动负债合计||17,061,912,263.68|13,535,860,041.53
非流动负债：|||
保险合同准备金|||
长期借款|45|28,705,566,379.15|23,837,385,993.66
应付债券|46|1,000,000,000.00|2,085,000,000.00
其中：优先股|||
永续债|||
租赁负债|47|784,769,810.01|738,279,841.86
长期应付款|48|361,236,137.17|204,163,944.97
长期应付职工薪酬|||
预计负债|50|77,531,149.68|52,760,727.00
递延收益|51|106,249,255.16|59,142,565.63
递延所得税负债|30|56,187,755.68|49,632,336.35
其他非流动负债|||
非流动负债合计||31,091,540,486.85|27,026,365,409.47
负债合计||48,153,452,750.53|40,562,225,451.00
所有者权益（或股东权益）：|||
实收资本（或股本）|53|4,187,093,073.00|3,849,910,396.00
其他权益工具|54|1,945,736,000.00|1,494,000,000.00
page|109
其中：优先股|||
永续债||1,945,736,000.00|1,494,000,000.00
资本公积|55|6,590,287,168.26|2,400,024,673.73
减：库存股|||
其他综合收益|57|6,493,135.00|6,493,135.00
专项储备|||
盈余公积|59|638,241,006.48|486,035,679.01
一般风险准备|||
未分配利润|60|6,316,513,894.20|4,928,503,066.37
归属于母公司所有者权益（或股东权益）合计||19,684,364,276.94|13,164,966,950.11
少数股东权益||4,079,939,763.50|3,530,522,147.30
所有者权益（或股东权益）合计||23,764,304,040.44|16,695,489,097.41
负债和所有者权益（或股东权益）总计||71,917,756,790.97|57,257,714,548.41
