page|84
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||14,591,318,778.18  12,908,998,788.89
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
page|85
收到其他与经营活动有关的现金||116,087,465.77|44,514,898.74
经营活动现金流入小计|||14,707,406,243.95  12,953,513,687.63
购买商品、接受劳务支付的现金||8,826,328,799.63|8,197,726,234.05
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||582,113,262.36|337,177,141.00
支付的各项税费||849,125,897.06|227,327,654.42
支付其他与经营活动有关的现金||805,118,163.44|595,132,582.38
经营活动现金流出小计||11,062,686,122.49|9,357,363,611.85
经营活动产生的现金流量净额||3,644,720,121.46|3,596,150,075.78
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||8,440,427.52|8,695,652.17
处置固定资产、无形资产和其他长期资产收回的现金净额||6,676,726.51|641,072.78
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||15,117,154.03|9,336,724.95
购建固定资产、无形资产和其他长期资产支付的现金||308,314,991.47|336,902,515.64
投资支付的现金||14,190,750.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||322,505,741.47|336,902,515.64
投资活动产生的现金流量净额||-307,388,587.44|-327,565,790.69
page|86
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||6,504,123,876.43|6,848,858,397.21
收到其他与筹资活动有关的现金||5,245,372,799.55|3,891,649,071.69
筹资活动现金流入小计|||11,749,496,675.98  10,740,507,468.90
偿还债务支付的现金||8,503,398,102.41|8,786,583,953.41
分配股利、利润或偿付利息支付的现金||465,961,936.69|543,229,537.44
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||5,871,901,440.08|4,663,004,232.00
筹资活动现金流出小计|||14,841,261,479.18  13,992,817,722.85
筹资活动产生的现金流量净额|||-3,091,764,803.20  -3,252,310,253.95
四、汇率变动对现金及现金等价物的影响||-1,995,962.70|-1,368,991.21
五、现金及现金等价物净增加额||243,570,768.12|14,905,039.93
加：期初现金及现金等价物余额||351,226,484.08|336,321,444.15
六、期末现金及现金等价物余额||594,797,252.20|351,226,484.08
