page|102
项             目|注释|本年金额|上年金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,481,666,053.79|6,299,485,125.74
收到的税费返还||168,345,510.76|225,026,108.96
收到其他与经营活动有关的现金|六、62|1,486,517,973.78|1,066,294,175.39
经营活动现金流入小计||7,136,529,538.33|7,590,805,410.09
购买商品、接受劳务支付的现金||3,123,841,052.46|4,808,833,560.54
支付给职工以及为职工支付的现金||474,516,767.32|534,288,873.78
支付的各项税费||430,496,209.08|660,727,037.38
支付其他与经营活动有关的现金|六、62|1,562,983,329.05|1,513,145,281.26
经营活动现金流出小计||5,591,837,357.91|7,516,994,752.96
经营活动产生的现金流量净额||1,544,692,180.42|73,810,657.13
二、投资活动产生的现金流量：|||
收回投资收到的现金||165,312,471.99|
取得投资收益收到的现金|||84,653.99
处置固定资产、无形资产和其他长期资产收回的现金净额||5,928,885.00|41,137,438.58
处置子公司及其他营业单位收到的现金净额||361,000,000.00|707,981,502.67
收到其他与投资活动有关的现金|六、62|2,753,908.83|715,982,148.94
投资活动现金流入小计||534,995,265.82|1,465,185,744.18
购建固定资产、无形资产和其他长期资产支付的现金||69,160,928.32|290,190,044.85
page|103
投资支付的现金||42,361,724.25|125,800,000.00
取得子公司及其他营业单位支付的现金净额|||64,737,845.82
支付其他与投资活动有关的现金|六、62||9,944,624.68
投资活动现金流出小计||111,522,652.57|490,672,515.35
投资活动产生的现金流量净额||423,472,613.25|974,513,228.83
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||120,000,000.00|3,000,000.00
其中：子公司吸收少数股东投资收到的现金||120,000,000.00|3,000,000.00
取得借款收到的现金||1,453,743,247.18|2,516,628,000.00
发行债券收到的现金|||
收到其他与筹资活动有关的现金|六、62||
筹资活动现金流入小计||1,573,743,247.18|2,519,628,000.00
偿还债务支付的现金||4,044,080,622.40|3,058,901,500.00
分配股利、利润或偿付利息支付的现金||435,310,213.72|651,007,971.47
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|六、62|62,796,622.90|117,390,407.75
筹资活动现金流出小计||4,542,187,459.02|3,827,299,879.22
筹资活动产生的现金流量净额||-2,968,444,211.84|-1,307,671,879.22
四、汇率变动对现金及现金等价物的影响|||3,403.23
五、现金及现金等价物净增加额|六、62|-1,000,279,418.17|-259,344,590.03
加：期初现金及现金等价物余额||2,218,947,641.46|2,478,292,231.49
六、期末现金及现金等价物余额||1,218,668,223.29|2,218,947,641.46
