page|42
项目|||||附注|2020 年 12 月 31 日|||2019 年 12 月 31 日|
流动资产 ：||||||||||
货币资金||||||488,716,738.20|||190,695,557.12|
结算备付金||||||||||
拆出资金||||||||||
交易性金融资产||||||||||
衍生金融资产||||||||||
应收票据||||||100,000.00|||1,749,979.11|
应收账款||||||749,116,382.87|||555,406,232.78|
应收款项融资||||||||||
预付款项||||||19,642,193.60|||38,582,026.75|
应收保费||||||||||
应收分保账款||||||||||
应收分保合同准备金||||||||||
其他应收款||||||33,888,865.38|||29,935,739.06|
其中 ：应收利息||||||||||
应收股利||||||||||
买入返售金融资产||||||||||
存货||||||44,559,748.82|||41,994,658.44|
合同资产||||||||||
持有待售资产||||||||||
一年内到期的非流动资产||||||||||
其他流动资产||||||38,561,618.15|||48,096,841.11|
流动资产合计||||||1,374,585,547.02|||906,461,034.37|
非流动资产 ：||||||||||
发放贷款和垫款||||||||||
债权投资||||||||||
其他债权投资||||||||||
长期应收款||||||||||
长期股权投资||||||||||
其他权益工具投资||||||||||
其他非流动金融资产||||||||||
投资性房地产||||||||||
固定资产||||||1,372,202,098.39|||958,069,342.71|
在建工程||||||81,627,325.10|||516,720,517.94|
生产性生物资产||||||7,333,644.02|||8,983,610.23|
油气资产||||||||||
使用权资产||||||||||
无形资产||||||128,110,315.74|||134,349,692.35|
开发支出||||||||||
商誉||||||51,772.52|||51,772.52|
长期待摊费用||||||210,079,873.76|||100,534,937.90|
递延所得税资产||||||29,216,293.47|||14,604,774.88|
其他非流动资产||||||11,816,837.73|||5,674,964.45|
非流动资产合计||||||1,840,438,160.73|||1,738,989,612.98|
资产总计||||||3,215,023,707.75|||2,645,450,647.35|
法定代表人 ：      主管会计工作负责人 ：|||||||会计机构负责人 ：|||
