page|44
项目||||附注|2020 年度|2019 年度
一、营业总收入|||||1,076,794,038.84|1,305,186,979.54
其中 ：营业收入|||||1,076,794,038.84|1,305,186,979.54
利息收入||||||
已赚保费||||||
手续费及佣金收入||||||
二、营业总成本|||||1,124,141,541.73|1,248,350,486.47
其中 ：营业成本|||||840,954,835.26|962,944,912.20
利息支出||||||
手续费及佣金支出||||||
退保金||||||
赔付支出净额||||||
提取保险责任准备金净额||||||
保单红利支出||||||
分保费用||||||
税金及附加|||||14,038,740.18|15,494,294.43
销售费用|||||56,331,086.97|64,106,073.50
管理费用|||||162,683,918.95|181,363,760.51
研发费用||||||
财务费用|||||50,132,960.37|24,441,445.83
其中 ：利息费用|||||50,865,319.25|24,190,344.43
利息收入|||||1,808,314.23|1,390,851.95
加 ：其他收益|||||6,102,720.00|2,799,143.02
||投资收益（损失以“－”号填列）||||3,102,327.99
||其中 ：对联营企业和合营企业的投资收益||||
||以摊余成本计量的金融资产终止确认收益||||
汇兑收益（损失以“－”号填列）||||||
净敞口套期收益（损失以“-”号填列）||||||
公允价值变动收益（损失以“－”号填列）||||||
信用减值损失（损失以“-”号填列）|||||-29,046,814.20|-14,221,275.76
资产减值损失（损失以“-”号填列）|||||73,892.19|-632,912.47
资产处置收益（损失以“－”号填列）|||||3,018,141.01|
三、营业利润（亏损以“－”号填列）|||||-67,199,563.89|47,883,775.85
加 ：营业外收入|||||3,113,701.52|12,384,165.18
减 ：营业外支出|||||16,944,733.24|4,731,935.56
四、利润总额（亏损总额以“－”号填列）|||||-81,030,595.61|55,536,005.47
减 ：所得税费用|||||-9,717,444.15|9,060,304.81
五、净利润（净亏损以“－”号填列）|||||-71,313,151.46|46,475,700.66
（一）按经营持续性分类||||||
1. 持续经营净利润（净亏损以“－”号填列）|||||-71,313,151.46|46,475,700.66
2. 终止经营净利润（净亏损以“－”号填列）||||||
（二）按所有权归属分类||||||
1. 归属于母公司股东的净利润（净亏损以“-”号填列）|||||-71,863,269.23|45,026,654.39
2. 少数股东损益（净亏损以“-”号填列）|||||550,117.77|1,449,046.27
