page|76
项目|附 注|2020 年度|2019 年度
一、营业总收入||9,150,960,410.80|8,766,761,075.94
其中：营业收入|1|9,150,960,410.80|8,766,761,075.94
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||8,706,161,412.74|8,635,239,556.48
其中：营业成本|1|7,020,900,558.84|6,905,440,332.67
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|2|66,046,874.12|56,248,288.71
销售费用|3|906,317,267.51|932,215,452.10
管理费用|4|393,606,652.12|412,408,167.49
研发费用|5|197,533,285.00|164,081,574.90
财务费用|6|121,756,775.15|164,845,740.61
其中：利息费用||121,446,316.19|171,756,527.43
利息收入||7,690,523.78|6,087,299.13
加：其他收益|7|52,918,004.58|41,311,615.68
投资收益（损失以“－”号填列）|8|51,288,507.12|1,060,333,235.73
其中：对联营企业和合营企业的投资收益||32,236,261.56|48,391,739.16
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|9|-171,177.96|3,480,618.52
信用减值损失（损失以“-”号填列）|10|-95,135,437.20|-75,207,560.60
资产减值损失（损失以“-”号填列）|11|-88,420,182.71|-48,887,251.68
page|77
资产处置收益（损失以“－”号填列）|12|-459,774.11|10,060,780.52
三、营业利润（亏损以“－”号填列）||364,818,937.78|1,122,612,957.63
加：营业外收入|13|4,512,889.79|13,341,630.94
减：营业外支出|14|24,031,775.24|15,326,194.11
四、利润总额（亏损总额以“－”号填列）||345,300,052.33|1,120,628,394.46
减：所得税费用|15|105,899,388.56|260,541,993.20
五、净利润（净亏损以“－”号填列）||239,400,663.77|860,086,401.26
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||232,202,570.11|851,595,136.36
2.终止经营净利润（净亏损以“－”号填列）||7,198,093.66|8,491,264.90
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||234,138,976.63|861,314,742.19
2.少数股东损益（净亏损以“-”号填列）||5,261,687.14|-1,228,340.93
六、其他综合收益的税后净额||15,263,421.21|-22,357,220.19
（一）归属母公司所有者的其他综合收益的税后净额||15,190,171.38|-22,403,916.96
1．不能重分类进损益的其他综合收益||15,190,171.38|-21,347,521.00
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益||-6,984,100.72|
（3）其他权益工具投资公允价值变动||22,174,272.10|-21,347,521.00
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||-1,056,395.96
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||-1,056,395.96
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||73,249.83|46,696.77
七、综合收益总额||254,664,084.98|837,729,181.07
（一）归属于母公司所有者的综合收益总额||249,329,148.01|838,910,825.23
（二）归属于少数股东的综合收益总额||5,334,936.97|-1,181,644.16
八、每股收益：|||
（一）基本每股收益(元/股)||0.58|2.12
（二）稀释每股收益(元/股)||0.58|2.12
