page|79
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||10,202,374,414.82|9,255,272,805.90
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,329,208.67|179,728.87
收到其他与经营活动有关的现金|1|151,405,027.70|358,838,721.63
经营活动现金流入小计||10,355,108,651.19|9,614,291,256.40
购买商品、接受劳务支付的现金||6,975,365,448.92|6,625,202,538.37
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,088,407,446.81|971,397,840.27
支付的各项税费||406,329,093.00|418,641,259.39
支付其他与经营活动有关的现金|2|786,904,268.05|968,139,537.82
经营活动现金流出小计||9,257,006,256.78|8,983,381,175.85
经营活动产生的现金流量净额||1,098,102,394.41|630,910,080.55
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,000,000.00|153,373,299.70
取得投资收益收到的现金||2,846,259.48|35,593,827.75
处置固定资产、无形资产和其他长期资产收回的现金净额||9,608,765.49|23,134,592.90
处置子公司及其他营业单位收到的现金净额||33,973,699.15|435,303,782.86
收到其他与投资活动有关的现金|3|305,308,350.51|5,000,000.00
投资活动现金流入小计||354,737,074.63|652,405,503.21
购建固定资产、无形资产和其他长期资产支付的现金||191,325,395.78|215,778,370.95
投资支付的现金||18,000,000.00|31,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||224,199,587.26
支付其他与投资活动有关的现金|4|173,800,000.00|52,143,840.00
page|80
投资活动现金流出小计||383,125,395.78|523,121,798.21
投资活动产生的现金流量净额||-28,388,321.15|129,283,705.00
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||390,000.00|1,545,822.24
其中：子公司吸收少数股东投资收到的现金||390,000.00|1,545,822.24
取得借款收到的现金||2,190,422,290.68|3,899,796,600.00
收到其他与筹资活动有关的现金|5|9,000,000.00|17,300,815.00
筹资活动现金流入小计||2,199,812,290.68|3,918,643,237.24
偿还债务支付的现金||2,875,871,699.99|4,480,928,848.28
分配股利、利润或偿付利息支付的现金||153,178,347.74|218,272,088.86
其中：子公司支付给少数股东的股利、利润||5,424,268.77|15,262,212.26
支付其他与筹资活动有关的现金|6|30,097,799.23|6,843,431.77
筹资活动现金流出小计||3,059,147,846.96|4,706,044,368.91
筹资活动产生的现金流量净额||-859,335,556.28|-787,401,131.67
四、汇率变动对现金及现金等价物的影响||-7,403.50|1,864,615.30
五、现金及现金等价物净增加额||210,371,113.48|-25,342,730.82
加：期初现金及现金等价物余额||952,159,742.31|977,502,473.13
六、期末现金及现金等价物余额||1,162,530,855.79|952,159,742.31
