page|89
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,672,637,506.81|1,915,803,567.16
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||7,336,002.16|3,891,878.24
收到其他与经营活动有关的现金|（七十九）|574,503,761.19|198,023,624.16
经营活动现金流入小计||3,254,477,270.16|2,117,719,069.56
购买商品、接受劳务支付的现金||1,516,308,666.55|953,777,989.76
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||410,098,553.11|287,469,109.73
page|90
支付的各项税费||277,525,572.69|107,330,626.33
支付其他与经营活动有关的现金|（七十九）|797,504,755.57|342,225,170.33
经营活动现金流出小计||3,001,437,547.92|1,690,802,896.15
经营活动产生的现金流量净额||253,039,722.24|426,916,173.41
二、投资活动产生的现金流量：|||
收回投资收到的现金||5,534,724,030.79|3,257,986,513.47
取得投资收益收到的现金|||23,968.12
处置固定资产、无形资产和其他长期资产收回的现金净额||161,745.07|31,960,434.93
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（七十九）|31,844,700.00|6,310,000.00
投资活动现金流入小计||5,566,730,475.86|3,296,280,916.52
购建固定资产、无形资产和其他长期资产支付的现金||241,464,075.29|269,665,210.00
投资支付的现金||5,484,810,000.00|3,291,320,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（七十九）|67,330,000.00|
投资活动现金流出小计||5,793,604,075.29|3,560,985,210.00
投资活动产生的现金流量净额||-226,873,599.43|-264,704,293.48
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||396,245,263.95|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||620,842,750.00|112,000,000.00
收到其他与筹资活动有关的现金|（七十九）|2,776,000.00|
筹资活动现金流入小计||1,019,864,013.95|112,000,000.00
偿还债务支付的现金||202,000,000.00|190,000,000.00
分配股利、利润或偿付利息支付的现金||60,429,354.22|36,344,141.53
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（七十九）|167,818,753.18|75,034,448.37
筹资活动现金流出小计||430,248,107.40|301,378,589.90
筹资活动产生的现金流量净额||589,615,906.55|-189,378,589.90
四、汇率变动对现金及现金等价物的影响||-1,822.31|531.10
五、现金及现金等价物净增加额||615,780,207.05|-27,166,178.87
加：期初现金及现金等价物余额||633,565,086.77|660,731,265.64
六、期末现金及现金等价物余额||1,249,345,293.82|633,565,086.77
