page|79
项目|附注七|2021 年度|2020 年度
一、营业总收入|||55,646,253,991.83  57,783,367,039.83
其中：营业收入|61|55,646,253,991.83|57,783,367,039.83
利息收入|||
page|80
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||28,577,669,866.81  28,776,077,425.53
其中：营业成本|61|21,113,077,634.36|21,149,454,266.44
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|1,163,620,190.60|1,192,929,347.63
销售费用|63|150,419,652.08|115,417,318.42
管理费用|64|1,359,765,980.97|1,292,798,651.45
研发费用|65|39,416,834.88|39,568,009.51
财务费用|66|4,751,369,573.92|4,985,909,832.08
其中：利息费用||4,802,658,407.18|5,166,955,172.60
利息收入||117,069,848.87|100,213,191.69
加：其他收益|67|3,874,035.47|5,886,834.66
投资收益（损失以“－”号填列）|68|5,425,670,105.27|4,052,756,076.57
其中：对联营企业和合营企业的投资收益||2,801,782,313.06|3,182,977,402.41
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|70|335,482,723.94|-172,887,058.21
信用减值损失（损失以“-”号填列）|71|-11,731,842.75|-1,492,867.05
资产减值损失（损失以“-”号填列）|72|40,383,396.92|-17,737,932.85
资产处置收益（损失以“－”号填列）|73|13,911,487.71|22,038,670.15
三、营业利润（亏损以“－”号填列）|||32,876,174,031.58  32,895,853,337.57
加：营业外收入|74|30,301,675.23|50,968,275.16
减：营业外支出|75|497,131,532.13|491,280,818.61
四、利润总额（亏损总额以“－”号填列）||32,409,344,174.68|32,455,540,794.12
减：所得税费用|76|5,923,900,313.19|5,949,278,995.30
五、净利润（净亏损以“－”号填列）||26,485,443,861.49|26,506,261,798.82
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）|||26,485,443,861.49  26,506,261,798.82
page|81
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）|||26,272,998,503.24  26,297,890,222.70
2.少数股东损益（净亏损以“-”号填列）||212,445,358.25|208,371,576.12
六、其他综合收益的税后净额|||-420,356,680.26  -2,342,891,062.80
（一）归属母公司所有者的其他综合收益的税后净额||-281,012,853.85|-2,034,622,149.75
1．不能重分类进损益的其他综合收益||90,422,060.48|-618,339,810.10
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益||215,172,334.71|2,747,070.92
（3）其他权益工具投资公允价值变动||-124,750,274.23|-621,086,881.02
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||-371,434,914.33  -1,416,282,339.65
（1）权益法下可转损益的其他综合收益||64,315,949.96|-151,969,944.28
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||-435,750,864.29  -1,264,312,395.37
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-139,343,826.41|-308,268,913.05
七、综合收益总额|||26,065,087,181.23  24,163,370,736.02
（一）归属于母公司所有者的综合收益总额||25,991,985,649.39|24,263,268,072.95
（二）归属于少数股东的综合收益总额||73,101,531.84|-99,897,336.93
八、每股收益：|||
（一）基本每股收益(元/股)||1.1553|1.1853
（二）稀释每股收益(元/股)||1.1553|1.1853
