page|79
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||21,255,588,843.01|21,294,826,894.15
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||447,397,386.83|583,842,527.07
收到其他与经营活动有关的现金||937,987,764.87|314,343,398.07
经营活动现金流入小计||22,640,973,994.71|22,193,012,819.29
购买商品、接受劳务支付的现金||17,989,287,171.92|15,208,062,448.59
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额||-588,325,615.21|440,008,205.10
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,643,933,202.10|1,611,444,754.32
支付的各项税费||1,738,642,810.82|2,053,611,462.02
支付其他与经营活动有关的现金||687,013,453.49|1,545,137,229.33
经营活动现金流出小计||21,470,551,023.12|20,858,264,099.36
经营活动产生的现金流量净额||1,170,422,971.59|1,334,748,719.93
二、投资活动产生的现金流量：|||
收回投资收到的现金||10,937,659.00|4,291,498.40
取得投资收益收到的现金||46,204,284.72|597,767.72
处置固定资产、无形资产和其他长期资产收回的现金净额||93,368,404.61|6,203,537.48
处置子公司及其他营业单位收到的现金净额||1,396,048,799.20|
收到其他与投资活动有关的现金||772,112,671.49|1,364,433,033.78
投资活动现金流入小计||2,318,671,819.02|1,375,525,837.38
购建固定资产、无形资产和其他长期资产支付的现金||3,475,846,394.78|3,073,456,897.22
投资支付的现金||939,151,808.78|998,097.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||44,594,161.95|140,157,473.10
支付其他与投资活动有关的现金||630,100,000|979,000,058.98
投资活动现金流出小计||5,089,692,365.51|4,193,612,526.30
投资活动产生的现金流量净额||-2,771,020,546.49|-2,818,086,688.92
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||40,565,632.00|55,692,878.42
其中：子公司吸收少数股东投资收到的现金||2,850,000.00|55,692,878.42
取得借款收到的现金||16,167,205,222.54|20,659,191,803.69
收到其他与筹资活动有关的现金||2,179,167,583.66|2,728,896,617.49
page|80
筹资活动现金流入小计||18,386,938,438.2|23,443,781,299.60
偿还债务支付的现金||13,905,912,312.29|16,399,487,411.45
分配股利、利润或偿付利息支付的现金||840,500,246.13|822,463,182.55
其中：子公司支付给少数股东的股利、利润||1,383,500.00|1,530,500.00
支付其他与筹资活动有关的现金||2,215,211,742.05|4,073,338,850.97
筹资活动现金流出小计||16,961,624,300.47|21,295,289,444.97
筹资活动产生的现金流量净额||1,425,314,137.73|2,148,491,854.63
四、汇率变动对现金及现金等价物的影响||35,700,027.99|-68,944,778.79
五、现金及现金等价物净增加额||-139,583,409.18|596,209,106.85
加：期初现金及现金等价物余额||2,418,437,219.40|1,822,228,112.55
六、期末现金及现金等价物余额||2,278,853,810.22|2,418,437,219.40
