page|97
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,945,985,320.42|2,553,899,419.80
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||127,854,598.17|77,791,809.45
收到其他与经营活动有关的现金||36,910,532.65|97,718,104.23
经营活动现金流入小计||3,110,750,451.24|2,729,409,333.48
购买商品、接受劳务支付的现金||2,135,312,032.09|1,642,617,803.93
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||302,097,096.68|227,334,620.48
支付的各项税费||67,863,845.20|77,921,069.61
支付其他与经营活动有关的现金||167,062,705.67|194,027,590.97
经营活动现金流出小计||2,672,335,679.64|2,141,901,084.99
经营活动产生的现金流量净额||438,414,771.60|587,508,248.49
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,998,000,000.00|1,747,995,000.00
page|98
取得投资收益收到的现金||12,684,332.86|13,515,710.05
处置固定资产、无形资产和其他长期资产收回的现金净额||256,123.00|86,835.00
处置子公司及其他营业单位收到的现金净额|||-
收到其他与投资活动有关的现金||31,086,570.50|27,192,879.31
投资活动现金流入小计||2,042,027,026.36|1,788,790,424.36
购建固定资产、无形资产和其他长期资产支付的现金||677,347,946.85|321,666,773.38
投资支付的现金||1,698,000,000.00|1,809,995,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||22,636,360.36|19,624,124.13
投资活动现金流出小计||2,397,984,307.21|2,151,285,897.51
投资活动产生的现金流量净额||-355,957,280.85|-362,495,473.15
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||67,133,600.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||449,996,975.01|168,106,516.67
收到其他与筹资活动有关的现金||238,144,244.88|70,986,176.25
筹资活动现金流入小计||755,274,819.89|239,092,692.92
偿还债务支付的现金||260,900,000.00|141,000,000.00
分配股利、利润或偿付利息支付的现金||72,858,871.20|54,371,454.11
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||369,887,050.06|183,705,662.45
筹资活动现金流出小计||703,645,921.26|379,077,116.56
筹资活动产生的现金流量净额||51,628,898.63|-139,984,423.64
四、汇率变动对现金及现金等价物的影响||-806,438.58|-5,780,020.00
五、现金及现金等价物净增加额||133,279,950.80|79,248,331.70
加：期初现金及现金等价物余额||380,228,964.71|300,980,633.01
六、期末现金及现金等价物余额||513,508,915.51|380,228,964.71
