page|5
|第二节  公司简介和主要财务指标
一、  公司信息|
公司的中文名称|宁波舟山港股份有限公司
公司的中文简称|宁波舟山港
公司的外文名称|Ningbo Zhoushan Port Company Limited
公司的外文名称缩写|NZP
公司的法定代表人|毛剑宏
二、  联系人和联系方式|
|董事会秘书 证券事务代表
姓名 蒋伟|-
联系地址|- 宁波市鄞州区宁东路 269 号环球航运
广场|
电话 0574-27686151|-
传真 0574-27687001|-
电子信箱 ird@nbport.com.cn|-
三、 基本情况简介|
公司注册地址|宁波市鄞州区宁东路269号环球航运广场第1-4层（除
|2-2）、第40-46层
公司注册地址的历史变更情况|宁波市北仑区明州路301号
公司办公地址|宁波市鄞州区宁东路269号环球航运广场
公司办公地址的邮政编码|315040
公司网址|http://www.nbport.com.cn
电子信箱|ird@nbport.com.cn
四、 信息披露及备置地点|
公司披露年度报告的媒体名称及网址|《中国证券报》  https://www.cs.com.cn
|《上海证券报》https://www.cnstock.com
|《证券时报》http://www.stcn.com
|《证券日报》http://www.zqrb.cn
公司披露年度报告的证券交易所网址|http://www.sse.com.cn
公司年度报告备置地点|公司董事会办公室
