page|6
股票简称|*ST 众应|股票代码|002464
股票上市证券交易所|深圳证券交易所||
公司的中文名称|众应互联科技股份有限公司||
公司的中文简称|众应互联||
公司的外文名称（如有）|Whole Easy Internet Technology Co., Ltd.||
公司的外文名称缩写（如有） WEIT|||
公司的法定代表人|李化亮||
注册地址|浙江省龙泉市新华街 30 号三楼||
注册地址的邮政编码|323700||
公司注册地址历史变更情况|2017 年公司注册地址由江苏省昆山市经济技术开发区昆嘉路  1098  号变更为江苏省昆山开发区春旭路  258  号东安大厦 1701 室；2020 年注册地址变更为新疆伊犁州霍尔果斯经济开发区兵团分区开元 4-2 号二楼科技众创空间 2-114 室；2021 年注册地址变更为浙江省龙泉市新华街 30 号三楼。||
办公地址|上海市浦东新区长清北路  53  号中铝大厦南楼  7  层  702  室||
办公地址的邮政编码|200126||
公司网址|www.wholeasy.com||
电子信箱|sz002464@wholeasy.com||
