page|41
项目|2019 年|2018 年|变动额
经营活动现金流入小计|60,265,707|41,955,247|18,310,460
经营活动现金流出小计|(67,271,442)|(62,809,727)|(4,461,715)
经营活动产生的现金流量净额|(7,005,735)|(20,854,480)|13,848,745
投资活动现金流入小计|58,989,100|97,374,748|(38,385,648)
投资活动现金流出小计|(49,173,454)|(68,385,213)|19,211,759
投资活动产生的现金流量净额|9,815,646|28,989,535|(19,173,889)
筹资活动现金流入小计|85,760,858|96,917,942|(11,157,084)
筹资活动现金流出小计|(76,285,531)|(104,534,938)|28,249,407
筹资活动产生的现金流量净额|9,475,327|(7,616,996)|17,092,323
现金及现金等价物净增加额|12,288,567|533,852|11,754,715
page|42
项目|2019 年 12 月 31 日|2018 年 12 月 31 日|增减幅度 （%）|主要原因
现金及存放中央银行款项|39,704,840|29,554,430|34.34|超额存款准备金增加
衍生金融资产|12,436|-|不适用|利率互换及其他衍生金融工具公允价值
买入返售金融资产|2,325,771|300,262|674.58|买入返售债券增加
发放贷款及垫款|169,158,291|123,366,891|37.12|在政策允许的范围内扩大信贷投放规模，支持经济发展，贷款保持快速增长，在总资产中占比持续提升，资产结构进一步优化
使用权资产|818,928|不适用|不适用|采用新租赁准则后新增项目
递延所得税资产|1,581,905|1,152,778|37.23|资产减值准备产生的递延所得税资产增加
其他资产|622,410|1,064,952|(41.56)|采用新租赁准则后，原在其他资产中核算的预付租金调整至使用权资产
向中央银行借款|5,536,650|10,878,835|(49.11)|中期借贷便利规模减少
同业及其他金融机构存放款项|16,462,527|11,632,982|41.52|本公司加强同业主动负债管理，针对资金市场形势和流动性管理需要，适当增加同业存
page|43
||||款规模
拆入资金|9,916,257|7,207,066|37.59|同业拆借和借款增加
衍生金融负债|8,805|-|不适用|利率互换及其他衍生金融工具公允价值
应交税费|330,911|119,708|176.43|本期计提的所得税增加
租赁负债|427,429|不适用|不适用|采用新租赁准则后新增项目
