page|82
项目|附注五|2020 年度|2019 年度
一、营业总收入|||14,984,750,774.61  14,071,172,639.09
其中：营业收入||（六十一）  14,984,750,774.61  14,071,172,639.09|
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||14,345,650,123.15  12,302,974,431.84
其中：营业成本||（六十一）  12,109,579,411.09|9,743,757,486.22
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十二）|611,936,710.79|965,887,472.57
销售费用|（六十三）|520,018,813.71|531,482,784.04
管理费用|（六十四）|630,389,790.49|697,281,380.56
研发费用|||
财务费用|（六十六）|473,725,397.07|364,565,308.45
其中：利息费用||641,904,878.97|817,833,213.60
利息收入||184,055,261.19|470,051,779.79
加：其他收益|（六十七）|20,974,390.12|8,001,678.73
投资收益（损失以“－”号填列）|（六十八）|429,155,987.08|-100,290,629.92
其中：对联营企业和合营企业的投资收益||-416,966,018.37|-239,699,896.71
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||262,814.80
page|83
|信用减值损失（损失以“-”号填列） （七十一）|-73,702,032.62|-59,798,910.53
|资产减值损失（损失以“-”号填列） （七十二）|-322,890,265.50|-250,718,312.22
|资产处置收益（损失以“－”号填列） （七十三）|894,091.77|2,472,351.86
三、营业利润（亏损以“－”号填列）||693,532,822.31|1,368,127,199.97
加：营业外收入|（七十四）|26,190,693.71|50,752,001.87
减：营业外支出|（七十五）|30,501,065.23|76,538,875.82
四、利润总额（亏损总额以“－”号填列）||689,222,450.79|1,342,340,326.02
减：所得税费用|（七十六）|556,331,706.24|540,366,906.48
五、净利润（净亏损以“－”号填列）||132,890,744.55|801,973,419.54
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||132,890,744.55|801,973,419.54
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||106,848,127.87|518,285,996.64
2.少数股东损益（净亏损以“-”号填列）||26,042,616.68|283,687,422.90
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||132,890,744.55|801,973,419.54
（一）归属于母公司所有者的综合收益总额||106,848,127.87|518,285,996.64
（二）归属于少数股东的综合收益总额||26,042,616.68|283,687,422.90
八、每股收益：|||
（一）基本每股收益(元/股)|（七十八）|-0.0343|0.1715
（二）稀释每股收益(元/股)|（七十八）|-0.0343|0.1715
