page|168
项目|附注|2021 年度|2020 年度
一、营业总收入|||10,329,027,185.67  8,906,415,451.80
其中：营业收入|||10,329,027,185.67  8,906,415,451.80
二、营业总成本|||10,040,104,298.98  8,733,427,800.32
其中：营业成本|||9,404,476,273.80  8,205,181,376.48
税金及附加||44,666,997.51|33,786,017.28
销售费用||61,386,965.31|44,878,017.45
管理费用||322,040,269.63|306,139,796.76
研发费用||189,486,706.22|142,531,171.32
财务费用||18,047,086.51|911,421.03
其中：利息费用||27,988,298.88|15,669,725.84
利息收入||17,394,577.61|15,700,109.97
加：其他收益||10,188,990.47|16,749,016.30
投资收益（损失以“－”号填列）||14,274,100.52|13,381,452.77
公允价值变动收益（损失以“－”号填列）||-378,824.49|
信用减值损失（损失以“-”号填列）||8,509,409.22|17,010,381.55
资产减值损失（损失以“-”号填列）||24,484,906.55|-92,646,015.91
page|169
资产处置收益（损失以“－”号填列）||288,778.11|15,476.13
三、营业利润（亏损以“－”号填列）||346,290,247.07|127,497,962.32
加：营业外收入||641,095.89|8,207,892.31
减：营业外支出||747,881.89|9,790,609.06
四、利润总额（亏损总额以“－”号填列）||346,183,461.07|125,915,245.57
减：所得税费用||42,272,340.12|28,138,072.60
五、净利润（净亏损以“－”号填列）||303,911,120.95|97,777,172.97
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||303,911,120.95|97,777,172.97
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||303,264,101.74|96,704,596.30
2.少数股东损益（净亏损以“-”号填列）||647,019.21|1,072,576.67
六、其他综合收益的税后净额|||
七、综合收益总额||303,911,120.95|97,777,172.97
（一）归属于母公司所有者的综合收益总额||303,264,101.74|96,704,596.30
（二）归属于少数股东的综合收益总额||647,019.21|1,072,576.67
八、每股收益：|||
（一）基本每股收益(元/股)||0.2626|0.0837
（二）稀释每股收益(元/股)||0.2620|0.0837
