page|82
项目|附注|本年发生额|上年发生额
一、营业收入|(五)33|7,213,165,825.69|7,942,112,442.45
减：营业成本|(五)33|4,330,461,173.27|4,202,874,331.23
税金及附加|(五)34|588,121,884.85|1,173,036,543.95
销售费用|(五)35|409,360,381.42|239,704,219.98
管理费用|(五)36|519,535,492.34|457,943,081.51
财务费用|(五)37|455,786,256.92|589,019,455.57
其中：利息费用||508,595,095.27|707,013,378.33
利息收入||51,746,560.78|123,669,325.72
加：其他收益|(五)38|5,903,000.22|2,790,139.99
投资收益|(五)39|846,969,597.38|27,475,125.57
其中：对联营企业和合营企业的投资收益(损失)||(44,147,253.01)|(30,117,017.11)
以摊余成本计量的金融资产终止确认收益(损失)||(71,108,918.30)|
信用减值利得(损失)|(五)40|(9,689,518.70)|
资产减值利得(损失)|(五)41|(448,751,879.94)|(389,180,984.13)
资产处置收益(损失)||606,515.68|34,987.23
二、营业利润||1,304,938,351.53|920,654,078.87
加：营业外收入|(五)42|23,741,717.17|24,612,872.72
减：营业外支出|(五)43|49,293,383.02|13,750,044.54
三、利润总额||1,279,386,685.68|931,516,907.05
减：所得税费用|(五)44|605,827,597.69|516,567,821.75
四、净利润||673,559,087.99|414,949,085.30
(一)按经营持续性分类：|||
1、持续经营净利润||673,559,087.99|414,949,085.30
2、终止经营净利润||-|-
(二)按所有权归属分类：|||
1、归属于母公司股东的净利润||787,168,958.40|446,690,331.69
2、少数股东损益||(113,609,870.41)|(31,741,246.39)
五、其他综合收益的税后净额|(五)45|(516,364,790.74)|542,125,342.85
归属母公司股东的其他综合收益的税后净额||(516,364,790.74)|542,125,342.85
(一)不能重分类进损益的其他综合收益||15,375,000.00|-
1、其他权益工具投资公允价值变动||15,375,000.00|-
(二)将重分类进损益的其他综合收益||(531,739,790.74)|542,125,342.85
1、外币财务报表折算差额||(19,284,255.54)|29,669,807.65
2、其他||(512,455,535.20)|512,455,535.20
归属于少数股东的其他综合收益的税后净额||-|-
六、综合收益总额||157,194,297.25|957,074,428.15
归属于母公司股东的综合收益总额||270,804,167.66|988,815,674.54
归属于少数股东的综合收益总额||(113,609,870.41)|(31,741,246.39)
七、每股收益|||
(一)基本每股收益||1.1840|0.6719
(二)稀释每股收益||1.1840|0.6719
