page|84
项目|附注|本年发生额|上年发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||8,258,296,718.18|9,300,787,614.89
收到其他与经营活动有关的现金|(五)46(1)|792,576,768.73|1,553,921,054.80
经营活动现金流入小计||9,050,873,486.91|10,854,708,669.69
购买商品、接受劳务支付的现金||6,470,518,582.68|5,645,704,349.30
支付给职工以及为职工支付的现金||528,790,381.94|511,299,789.68
支付的各项税费||1,658,556,053.95|1,157,606,577.10
支付其他与经营活动有关的现金|(五)46(2)|1,235,599,264.24|538,515,463.99
经营活动现金流出小计||9,893,464,282.81|7,853,126,180.07
经营活动产生的现金流量净额|(五)47(1)|(842,590,795.90)|3,001,582,489.62
二、投资活动产生的现金流量：|||
收回投资收到的现金||12,593,635.69|287,306,492.61
取得投资收益收到的现金||9,059,609.64|23,188,339.19
处置固定资产、无形资产和其他长期资产收回的现金净额||3,705,556.00|108,034.11
收到其他与投资活动有关的现金|(五)46(3)、(4)|8,952,006,313.89|11,839,431,302.40
投资活动现金流入小计||8,977,365,115.22|12,150,034,168.31
购建固定资产、无形资产和其他长期资产支付的现金||549,432,305.08|38,225,427.13
投资支付的现金||36,141,300.00|480,926,508.33
取得子公司及其他营业单位支付的现金净额|(五)46(4)|-|-
支付其他与投资活动有关的现金|(五)46(5)、(6)|9,349,754,659.44|10,997,997,623.52
投资活动现金流出小计||9,935,328,264.52|11,517,149,558.98
投资活动产生的现金流量净额||(957,963,149.30)|632,884,609.33
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||490,000.00|218,325.02
其中：子公司吸收少数股东投资收到的现金||490,000.00|218,325.02
取得借款收到的现金||7,166,525,736.00|4,389,961,908.78
收到其他与筹资活动有关的现金|(五)46(7)|1,143,169,468.84|788,668,100.00
筹资活动现金流入小计||8,310,185,204.84|5,178,848,333.80
偿还债务支付的现金||5,960,919,155.79|6,171,962,416.27
分配股利、利润或偿付利息支付的现金||1,140,315,796.75|1,292,886,416.87
其中：子公司支付给少数股东的股利、利润||-|-
支付其他与筹资活动有关的现金|(五)46(8)|1,390,173,033.50|896,621,894.21
筹资活动现金流出小计||8,491,407,986.04|8,361,470,727.35
筹资活动产生的现金流量净额||(181,222,781.20)|(3,182,622,393.55)
四、汇率变动对现金及现金等价物的影响||(34,130.70)|7,714,031.97
五、现金及现金等价物净增加(减少)额||(1,981,810,857.10)|459,558,737.37
加：年初现金及现金等价物余额|(五)47(2)|4,779,502,361.18|4,319,943,623.81
六、年末现金及现金等价物余额|(五)47(2)|2,797,691,504.08|4,779,502,361.18
