page|151
合并现金流量表|||
2021年度|||人民币元
|附注五|2021年|2020年
一、  经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||236,345,807,492|178,295,611,924
收到其他与经营活动有关的现金|65|661,491,512|615,825,285
经营活动现金流入小计||237,007,299,004|178,911,437,209
购买商品、接受劳务支付的现金||(190,504,168,608)|(149,670,462,142)
支付给职工以及为职工支付的现金||(7,151,063,210)|(3,958,818,015)
支付的各项税费||(9,642,377,246)|(6,727,320,348)
支付其他与经营活动有关的现金|65|(3,637,452,339)|(4,286,433,281)
经营活动现金流出小计||(210,935,061,403)|(164,643,033,786)
经营活动产生的现金流量净额|66|26,072,237,601|14,268,403,423
二、  投资活动产生的现金流量：|||
收回投资收到的现金||1,659,859,836|268,802,207
取得投资收益收到的现金||593,774,292|179,165,875
处置固定资产、无形资产和其他长期资|||
产收回的现金净额||17,352,639|100,468,800
收到其他与投资活动有关的现金|65|244,036,360|65,401,352
投资活动现金流入小计||2,515,023,127|613,838,234
购建固定资产、无形资产和其他长期资|||
产支付的现金||(20,148,568,080)|(13,886,407,296)
投资支付的现金||(4,528,283,903)|(1,287,831,015)
取得子公司及其他营业单位支付的现金|||
净额|66|(46,289,222)|(12,135,024,617)
支付其他与投资活动有关的现金|65|(1,556,833,400)|(2,479,014,469)
投资活动现金流出小计||(26,279,974,605)|(29,788,277,397)
投资活动使用的现金流量净额||(23,764,951,478)|(29,174,439,163)
page|152
合并现金流量表（续）|||
2021年度|||人民币元
|附注五|2021年|2020年
三、|筹资活动产生的现金流量：||
|吸收投资收到的现金|2,758,563,637|6,632,283,694
|其中：子公司吸收少数股东投资收||
|到的现金|2,271,586,367|6,632,283,694
|发行可转换债券收到的现金|-|5,970,285,067
|取得借款收到的现金|31,135,822,496|38,074,222,643
|黄金租赁业务收到的现金|11,266,182,767|12,634,847,803
|发行债券和短期融资券收到的现金|6,300,000,000|5,069,740,000
|收到其他与筹资活动有关的现金 65|97,243,423|1,030,811,044
|筹资活动现金流入小计|51,557,812,323|69,412,190,251
|偿还债务支付的现金|(20,418,950,527)|(26,338,513,882)
|偿还黄金租赁业务支付的现金|(12,800,751,471)|(10,650,615,173)
|偿还债券和超短期融资券支付的现金|(10,284,479,263)|(4,298,550,000)
|分配股利、利润或偿付利息支付的现金|(7,336,876,536)|(5,671,366,799)
|其中：子公司支付给少数股东的股||
|利、利润|(2,215,461,529)|(969,369,818)
|支付其他与筹资活动有关的现金 65|(693,434,139)|(1,524,949,267)
|筹资活动现金流出小计|(51,534,491,936)|(48,483,995,121)
|筹资活动产生的现金流量净额|23,320,387|20,928,195,130
四、|汇率变动对现金及现金等价物的影响|(486,027,541)|(321,064,600)
五、|现金及现金等价物净增加额 66|1,844,578,969|5,701,094,790
|加：年初现金及现金等价物余额|11,786,686,240|6,085,591,450
六、|年末现金及现金等价物余额|13,631,265,209|11,786,686,240
|66||
