page|6
|第二节  公司简介和主要财务指标
一、公司基本情况|
公司的中文名称|西安凯立新材料股份有限公司
公司的中文简称|凯立新材
公司的外文名称|Kaili Catalyst & New Materials Co.,Ltd.
公司的外文名称缩写|KCNM
公司的法定代表人|张之翔
公司注册地址|西安经济技术开发区泾渭新城泾勤路西段6号
公司注册地址的历史变更情况|不适用
公司办公地址|西安经济技术开发区泾渭新城泾勤路西段6号
公司办公地址的邮政编码|710201
公司网址|www.xakaili.com
电子信箱|zhengquanbu@xakaili.com
二、联系人和联系方式|
董事会秘书（信息披露境|
|证券事务代表 证券事务代表
内代表）|
姓名 王世红|石婧文 曹渤杨
联系地址 西安经济技术开发区泾渭|西安经济技术开发区泾渭新西安经济技术开发区泾渭
新城泾勤路西段 6 号|城泾勤路西段 6 号 新城泾勤路西段 6 号
电话 029-86932830|029-86932830 029-86932830
传真 029-86932830|029-86932830 029-86932830
电子信箱 zhengquanbu@xakaili.com  zhengquanbu@xakaili.com|zhengquanbu@xakaili.com
三、信息披露及备置地点|
|中国证券报(www.cs.com.cn)、证券日报
公司披露年度报告的媒体名称及网址|(www.zqrb.cn)、证券时报(www.stcn.com)、上海
|证券报(www.cnstock.com)
公司披露年度报告的证券交易所网址|www.sse.com.cn
公司年度报告备置地点|西安凯立新材料股份有限公司证券部
