page|96
项目|附注|本年发生额|上年发生额
一、营业收入|(五)42|28,444,833|27,563,239
减：营业成本|(五)42|20,071,035|18,679,512
税金及附加|(五)43|88,591|84,403
销售费用|(五)44|4,945,345|4,873,256
管理费用|(五)45|1,043,708|1,562,317
研发费用|(五)46|478,778|436,325
财务费用|(五)47|1,847,189|1,665,885
其中：利息费用||679,225|694,350
利息收入||64,022|81,190
加：投资收益(损失)|(五)48|206,502|(231,205)
其中：对联营企业和合营企业的投资收益||15,584|19,861
公允价值变动收益(损失)|(五)49|540,698|825,512
信用减值损失|(五)50|(25,949)|(39,405)
资产减值损失|(五)51|(164,154)|(413,816)
资产处置收益|(五)52|10,750|127,073
二、营业利润||538,034|529,700
加：营业外收入||77,025|25,726
减：营业外支出||39,847|103,854
三、利润总额||575,212|451,572
减：所得税费用|(五)53|222,459|174,531
四、净利润||352,753|277,041
(一)按经营持续性分类：|||
持续经营净利润||352,753|277,041
(二)按所有权归属分类：|||
归属于母公司所有者的净利润||352,753|277,041
五、其他综合收益的税后净额|(五)39|(1,264,736)|106,365
归属母公司所有者的其他综合收益的税后净额||(1,264,736)|106,365
(一)不能重分类进损益的其他综合收益||36,109|(48,181)
1.重新计量设定受益计划净负债或净资产的变动||29,618|(50,771)
2.其他权益工具投资公允价值变动||6,491|2,590
(二)将重分类进损益的其他综合收益||(1,300,845)|154,546
1.现金流量套期损益的有效部分||(175,187)|(138,917)
2.外币财务报表折算差额||(1,125,658)|293,463
六、综合收益总额|||
归属于母公司所有者的综合收益总额||(911,983)|383,406
七、每股收益：|(十四)2||
基本每股收益||0.15|0.11
稀释每股收益||不适用|不适用
