page|98
项目|附注|本年发生额|上年发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||26,822,969|24,860,829
收到的税费返还||213,704|88,042
收到其他与经营活动有关的现金|(五)55(1)|693,212|664,837
经营活动现金流入小计||27,729,885|25,613,708
购买商品、接受劳务支付的现金||18,671,558|17,877,786
支付给职工以及为职工支付的现金||3,605,027|3,408,818
支付的各项税费||385,056|683,477
支付其他与经营活动有关的现金|(五)55(2)|3,045,229|2,800,140
经营活动现金流出小计||25,706,870|24,770,221
经营活动产生的现金流量净额|(五)56(1)|2,023,015|843,487
二、投资活动产生的现金流量：|||
收回投资收到的现金||29,808|63,685
取得投资收益收到的现金||55,078|8,424
处置固定资产、无形资产和      其他长期资产收回的现金净额||22,678|186,607
收到其他与投资活动有关的现金|(五)55(3)|3,223|5,208
投资活动现金流入小计||110,787|263,924
购建固定资产、无形资产和      其他长期资产支付的现金||1,969,793|1,760,000
投资支付的现金||53,422|60,500
取得子公司及其他营业单位支付的现金净额|(五)56(2)|371,192|1,121,947
支付其他与投资活动有关的现金|(五)55(4)|48,348|-
投资活动现金流出小计||2,442,755|2,942,447
投资活动产生的现金流量净额||(2,331,968)|(2,678,523)
三、筹资活动产生的现金流量：|||
取得借款收到的现金||3,772,193|3,032,134
发行债券取得的现金||692,893|-
收到其他与筹资活动有关的现金|(五)55(5)|220,738|179,911
筹资活动现金流入小计||4,685,824|3,212,045
偿还债务支付的现金||3,405,046|1,486,586
分配股利、利润或偿付利息支付的现金||728,369|1,000,773
其中：子公司支付给少数股东的股利、利润||34,865|43,043
支付其他与筹资活动有关的现金|(五)55(6)|409,358|936,712
筹资活动现金流出小计||4,542,773|3,424,071
筹资活动产生的现金流量净额||143,051|(212,026)
四、汇率变动对现金及现金等价物的影响||(318,934)|20,773
五、现金及现金等价物净减少额|(五)56(1)|(484,836)|(2,026,289)
加：年初现金及现金等价物余额||4,319,907|6,346,196
六、年末现金及现金等价物余额|(五)56(3)|3,835,071|4,319,907
