page|63
项目|附注六|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||704,324,782.73|740,561,326.91
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||599,498.90|2,912,334.47
收到其他与经营活动有关的现金|注释 75|118,347,555.60|252,836,383.55
经营活动现金流入小计||823,271,837.23|996,310,044.93
购买商品、接受劳务支付的现金||395,597,571.13|482,958,158.79
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||112,545,682.52|106,872,254.50
支付的各项税费||29,467,920.70|38,276,140.16
支付其他与经营活动有关的现金|注释 75|160,644,815.94|135,426,983.28
经营活动现金流出小计||698,255,990.29|763,533,536.73
经营活动产生的现金流量净额|注释 76|125,015,846.94|232,776,508.20
二、投资活动产生的现金流量：|||
收回投资收到的现金||407,397,293.79|2,561,540,267.09
取得投资收益收到的现金||129,177,845.31|80,037,910.96
处置固定资产、无形资产和其他长期资产收回的现金净额||3,446,852.81|10,632,492.35
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
page|64
投资活动现金流入小计||540,021,991.91|2,652,210,670.40
购建固定资产、无形资产和其他长期资产支付的现金||7,486,971.37|10,037,809.12
投资支付的现金||732,667,513.07|2,556,500,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||279,850,040.42|
支付其他与投资活动有关的现金||9,042,759.81|
投资活动现金流出小计||1,029,047,284.67|2,566,537,809.12
投资活动产生的现金流量净额||-489,025,292.76|85,672,861.28
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||100,000,000.00|
收到其他与筹资活动有关的现金||7,461,678.45|
筹资活动现金流入小计||107,461,678.45|
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||37,958,908.58|18,711,500.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||37,958,908.58|18,711,500.00
筹资活动产生的现金流量净额||69,502,769.87|-18,711,500.00
四、汇率变动对现金及现金等价物的影响||3,937,308.02|1,929,196.98
五、现金及现金等价物净增加额||-290,569,367.93|301,667,066.46
加：期初现金及现金等价物余额||1,356,607,431.39|1,054,940,364.93
六、期末现金及现金等价物余额||1,066,038,063.46|1,356,607,431.39
