page|56
报表项目|更正前金额|更正金额|更正后金额
货币资金|453,336,607.16|-14,366,985.59|438,969,621.57
应收账款|1,020,940,702.50|-11,939,886.44|1,009,000,816.06
预付款项|19,024,271.36|-649,068.43|18,375,202.93
其他应收款|48,161,877.73|5,118,178.30|53,280,056.03
存货|482,583,196.92|-34,593,825.81|447,989,371.11
其他流动资产|26,248,161.16|-5,006,011.41|21,242,149.75
长期股权投资|129,000,291.52|44,857,758.43|173,858,049.95
page|57
固定资产|417,804,958.40|-9,958,022.03|407,846,936.37
无形资产|174,344,872.85|-20,648,089.18|153,696,783.67
递延所得税资产|37,222,712.05|-4,542,328.09|32,680,383.96
应付账款|542,435,063.66|-5,166,295.91|537,268,767.75
预收款项|79,733,761.16|-4,165,549.73|75,568,211.43
应付职工薪酬|14,656,335.00|-1,384,312.54|13,272,022.46
应交税费|68,391,353.24|-4,996.45|68,386,356.79
其他应付款|30,699,509.53|-788,916.27|29,910,593.26
一年内到期的非流动负债|29,253,428.67|-165,371.60|29,088,057.07
其他流动负债|21,015,506.68|-2,652,173.28|18,363,333.40
长期借款|108,575,454.41|-1,780,973.16|106,794,481.25
长期应付职工薪酬|1,798,377.81|-1,798,377.81|
递延所得税负债|19,292,891.39|-4,321,973.06|14,970,918.33
盈余公积|30,329,079.33|-402,676.41|29,926,402.92
未分配利润|455,251,101.00|289,311.94|455,540,412.94
少数股东权益|35,662,948.86|-29,385,975.97|6,276,972.89
page|58
报表项目|更正前金额|更正金额|更正后金额
销售商品、提供劳务收到的现金|2,072,532,216.84|-42,210,277.50|2,030,321,939.34
收到其他与经营活动有关的现金|89,057,979.54|-4,612.32|89,053,367.22
购买商品、接收劳务支付的现金|1,521,491,723.83|-52,605,364.37|1,468,886,359.46
支付给职工以及为职工支付的现金|164,421,220.69|657,276.20|165,078,496.89
支付的各项税费|96,334,029.79|16,046.81|96,350,076.60
支付其他与经营活动有关的现金|220,591,363.57|-16,634,462.62|203,956,900.95
处置固定资产、无形资产和其他长期资产所收回的现金净额|30,055,795.93|-29,731,337.53|324,458.40
收到其他与投资活动有关的现金|6,234,203.38|-5,868,814.61|365,388.77
购建固定资产、无形资产和其他长期资产所支付的现金|112,707,184.11|-9,095,686.48|103,611,497.63
投资支付的现金||22,868,563.90|22,868,563.90
取得借款收到的现金|878,880,993.10|-964,950.38|877,916,042.72
偿还债务支付的现金|781,533,023.60|-13,467,828.59|768,065,195.01
分配股利、利润或偿付利息支付的现金|61,196,502.27|-220,874.77|60,975,627.50
