page|105
资 产|附注六|期末余额|期初余额|上期期末余额
流动资产：||||
货币资金|注释1|767,259,028.72|460,301,946.70|460,301,946.70
以公允价值计量且其变动计入当期损益的金融资产||-|-|-
交易性金融资产|注释2|295,427,611.30|15,000,000.00|-
衍生金融资产||-|-|-
应收票据|注释3|-|-|2,373,372.00
应收账款|注释4|870,041,706.95|1,013,344,017.83|1,077,515,313.80
应收款项融资|注释5|1,715,710.88|66,544,667.97|-
预付款项|注释6|22,632,102.26|18,524,760.48|18,524,760.48
其他应收款|注释7|110,985,170.37|74,604,100.25|74,604,100.25
存货|注释8|302,944,444.94|254,502,251.49|254,502,251.49
持有待售资产||-|-|-
一年内到期的非流动资产|注释9|44,702,598.30|56,791,389.82|56,791,389.82
其他流动资产|注释10|67,027,049.37|61,807,137.32|76,807,137.32
流动资产合计||2,482,735,423.09|2,021,420,271.86|2,021,420,271.86
非流动资产：||||
可供出售金融资产|注释11|-|-|20,000.00
持有至到期投资||-|-|-
债权投资||-|-|-
其他债权投资||-|-|-
长期应收款|注释12|40,301,738.09|84,744,074.77|84,744,074.77
长期股权投资|注释13|17,099,475.13|20,951,051.29|20,951,051.29
其他权益工具投资|注释14|-|20,000.00|-
其他非流动金融资产||-|-|-
投资性房地产|注释15|255,479,447.30|122,609,057.69|122,609,057.69
固定资产|注释16|265,258,430.96|267,682,484.59|267,682,484.59
在建工程|注释17|722,502,266.69|653,651,688.53|653,651,688.53
生产性生物资产||-|-|-
油气资产||-|-|-
无形资产|注释18|233,609,247.93|235,150,210.50|235,150,210.50
开发支出||-|-|-
商誉|注释19|149,436,106.47|149,436,106.47|149,436,106.47
长期待摊费用|注释20|7,353,815.84|4,311,724.11|4,311,724.11
递延所得税资产|注释21|76,553,765.44|53,176,225.39|53,176,225.39
其他非流动资产|注释22|469,686,612.53|491,422,704.72|491,422,704.72
非流动资产合计||2,237,280,906.38|2,083,155,328.06|2,083,155,328.06
资产总计||4,720,016,329.47|4,104,575,599.92|4,104,575,599.92
page|106
|2019年12月31日|||
编制单位：深圳市尚荣医疗股份有限公司|||（除特别注明外，金额单位均为人民币元）|
负债和股东权益|附注六|期末余额|期初余额|上期期末余额
流动负债：||||
短期借款|注释23|74,134,080.00|134,820,174.56|134,820,174.56
以公允价值计量且其变动计入当期损益的金融负债||-|-|-
交易性金融负债||-|-|-
衍生金融负债||-|-|-
应付票据|注释24|3,724,142.00|23,829,863.45|23,829,863.45
应付账款|注释25|637,535,497.34|674,103,025.74|674,103,025.74
预收款项|注释26|64,462,362.00|76,780,592.65|76,780,592.65
应付职工薪酬|注释27|23,800,793.23|22,346,744.56|22,346,744.56
应交税费|注释28|97,819,579.21|129,468,745.21|129,468,745.21
其他应付款|注释29|65,929,165.06|139,059,980.47|139,059,980.47
持有待售负债||||
一年内到期的非流动负债|注释30|34,693,873.21|15,702,003.46|15,702,003.46
其他流动负债||-|-|-
流动负债合计||1,002,099,492.05|1,216,111,130.10|1,216,111,130.10
非流动负债：||||
长期借款|注释31|120,990,000.00|35,630,000.00|35,630,000.00
应付债券|注释32|708,053,603.20|-|-
其中：优先股||-|-|-
其中：永续债||-|-|-
长期应付款||-|-|-
长期应付职工薪酬||-|-|-
预计负债||-|-|-
递延收益|注释33|72,479,487.98|73,236,199.41|73,236,199.41
递延所得税负债|注释21|302,280.13|1,985,705.64|1,985,705.64
其他非流动负债||-|-|-
非流动负债合计||901,825,371.31|110,851,905.05|110,851,905.05
负债合计||1,903,924,863.36|1,326,963,035.15|1,326,963,035.15
股东权益：||||
股本|注释34|705,967,762.00|705,917,914.00|705,917,914.00
其他权益工具|注释35|16,367,175.44|-|-
其中：优先股||-|-|-
其中：永续债||-|-|-
资本公积|注释36|903,413,075.85|903,224,439.65|903,224,439.65
减：库存股||-|-|-
其他综合收益|注释37|2,351,258.04|1,302,943.74|1,302,943.74
专项储备||-|-|-
盈余公积|注释38|43,225,536.29|40,945,902.86|40,945,902.86
未分配利润|注释39|665,298,360.23|669,305,995.57|669,305,995.57
归属于母公司股东权益合计||2,336,623,167.85|2,320,697,195.82|2,320,697,195.82
少数股东权益||479,468,298.26|456,915,368.95|456,915,368.95
股东权益合计||2,816,091,466.11|2,777,612,564.77|2,777,612,564.77
负债和股东权益总计||4,720,016,329.47|4,104,575,599.92|4,104,575,599.92
