page|108
|合并现金流量表||
|2019年度||
编制单位：深圳市尚荣医疗股份有限公司||（除特别注明外，金额单位均为人民币元）|
项 目|附注六|本期金额|上期金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,802,704,653.48|1,730,953,021.62
收到的税费返还||63,431,090.44|51,932,518.47
收到其他与经营活动有关的现金|注释54|34,145,124.87|69,818,914.24
经营活动现金流入小计||1,900,280,868.78|1,852,704,454.33
购买商品、接受劳务支付的现金||1,179,828,667.14|1,273,520,262.83
支付给职工以及为职工支付的现金||259,662,721.91|229,222,991.85
支付的各项税费||88,969,788.29|107,155,030.16
支付其他与经营活动有关的现金|注释54|231,940,933.44|200,590,305.29
经营活动现金流出小计||1,760,402,110.78|1,810,488,590.13
经营活动产生的现金流量净额||139,878,758.00|42,215,864.20
二、投资活动产生的现金流量：|||
收回投资所收到的现金||538,520,000.00|237,000,000.00
取得投资收益收到的现金||2,443,819.03|936,788.90
处置固定资产、无形资产和其他长期资产收回的现金净额||436,410.93|90,067,573.93
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||541,400,229.96|328,004,362.83
购建固定资产、无形资产和其他长期资产支付的现金||254,612,483.55|357,274,019.01
投资支付的现金||817,027,269.68|199,000,000.00
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,071,639,753.23|556,274,019.01
投资活动产生的现金流量净额||(530,239,523.27)|(228,269,656.18)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,128,127,939.70|781,405,927.07
收到其他与筹资活动有关的现金|注释54|177,325,833.31|183,068,864.06
筹资活动现金流入小计||1,305,453,773.01|964,474,791.13
偿还债务支付的现金||358,504,034.26|814,064,927.44
分配股利、利润或偿付利息支付的现金||74,156,776.04|84,509,096.13
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|注释54|220,827,693.06|177,330,022.32
筹资活动现金流出小计||653,488,503.36|1,075,904,045.89
筹资活动产生的现金流量净额||651,965,269.65|(111,429,254.76)
四、汇率变动对现金及现金等价物的影响||1,989,365.91|(86,044.12)
五、现金及现金等价物净增加额|注释55|263,593,870.29|(297,569,090.86)
加：期初现金及现金等价物余额|注释55|283,214,597.59|580,783,688.45
六、期末现金及现金等价物余额|注释55|546,808,467.88|283,214,597.59
（后附财务报表附注为合并财务报表的组成部分）|||
企业法定代表人：                   主管会计工作负责人：                   会计机构负责人：|||
