page|107
|2019年度||
编制单位：深圳市尚荣医疗股份有限公司||（除特别注明外，金额单位均为人民币元）|
项目|附注六|本期金额|上期金额
一、营业总收入|注释40|1,530,819,966.88|1,630,432,068.31
减： 营业成本|注释40|1,200,999,693.25|1,228,455,925.86
税金及附加|注释41|15,491,270.87|14,390,146.08
销售费用|注释42|64,606,038.55|67,132,619.65
管理费用|注释43|92,183,165.92|87,611,312.46
研发费用|注释44|47,889,131.89|46,235,735.72
财务费用|注释45|(4,714,076.65)|322,787.51
其中：利息费用||12,080,200.26|11,448,755.88
利息收入||7,735,204.70|5,451,278.84
加： 其他收益|注释46|16,954,463.64|17,955,140.58
投资收益|注释48|(955,965.88)|(6,117,615.09)
其中：对联营企业和合营企业的投资收益||(3,851,576.16)|(7,054,403.99)
以摊余成本计量的金融资产终止确认收益||-|-
净敞口套期收益||-|-
公允价值变动收益|注释49|1,927,611.30|-
信用减值损失|注释50|(59,364,689.70)|-
资产减值损失|注释51|(695,218.92)|(75,286,145.00)
资产处置收益||-|-
二、营业利润||72,230,943.49|122,834,921.52
加： 营业外收入|注释52|838,636.84|30,938,419.66
减： 营业外支出|注释53|2,245,410.04|810,158.79
三、利润总额||70,824,170.29|152,963,182.39
减： 所得税费用|注释54|(5,600,056.96)|18,248,097.75
四、净利润||76,424,227.25|134,715,084.64
其中：同一控制下企业合并被合并方在合并前实现的净利润|||
（一）按经营持续性分类|||
持续经营净利润||76,424,227.25|134,715,084.64
终止经营净利润||-|-
（二）按所有权归属分类|||
归属于母公司所有者的净利润||59,758,852.86|97,710,771.00
少数股东损益||16,665,374.39|37,004,313.64
五、其他综合收益的税后净额|注释37|6,935,869.22|3,381,039.26
归属于母公司所有者的其他综合收益的税后净额|注释37|1,048,314.30|5,305,386.67
（一）不能重分类进损益的其他综合收益||-|-
（二）将重分类进损益的其他综合收益||1,048,314.30|5,305,386.67
1. 外币财务报表折算差额||1,048,314.30|5,305,386.67
归属于少数股东的其他综合收益的税后净额|注释37|5,887,554.92|(1,924,347.41)
六、综合收益总额||83,360,096.47|138,096,123.90
归属于母公司所有者的综合收益总额||60,807,167.16|103,016,157.67
归属于少数股东的综合收益总额||22,552,929.31|35,079,966.23
七、每股收益：|||
（一）基本每股收益||0.0847|0.1467
（二）稀释每股收益||0.0707|0.1467
