page|82
3、合并利润表|||
|合并利润表||
编制单位：桂林旅游股份有限公司|2021 年度||单位：元
项     目||2021 年度|2020 年度
一、营业总收入||238,740,666.57|255,027,525.93
其中：营业收入||238,740,666.57|255,027,525.93
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||447,962,382.93|485,738,641.56
其中：营业成本||258,456,513.89|286,066,515.09
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任合同准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||8,968,879.95|12,009,885.88
销售费用||18,677,887.78|14,357,179.57
管理费用||110,181,386.20|122,161,656.05
研发费用|||
财务费用||51,677,715.11|51,143,404.97
其中：利息费用||52,242,686.75|51,238,766.30
利息收入||585,023.69|602,065.99
加：其他收益||9,150,527.58|25,438,508.18
投资收益（损失以“－”号填列）||15,444,297.88|49,286,158.59
其中：对联营企业和合营企业的投资收益||10,642,559.36|-18,767,264.19
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）||-1,123,052.06|
信用减值损失（损失以“-”号填列）||-30,398,910.52|-149,059,569.37
资产减值损失（损失以“-”号填列）||-12,840,260.23|-3,844,656.13
资产处置收益（损失以“-”号填列）|||17,688,727.02
三、营业利润（亏损以“－”号填列）||-228,989,113.71|-291,201,947.34
加：营业外收入||202,314.80|2,082,551.01
减：营业外支出||890,980.13|4,851,257.24
四、利润总额（亏损总额以“－”号填列）||-229,677,779.04|-293,970,653.57
减：所得税费用||4,355,668.57|2,406,365.76
五、净利润（净亏损以“－”号填列）||-234,033,447.61|-296,377,019.33
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-234,033,447.61|-296,377,019.33
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润||-212,691,821.12|-266,454,906.80
2.少数股东损益||-21,341,626.49|-29,922,112.53
六、其他综合收益的税后净额|||
