page|84
合并现金流量表|
编制单位：桂林旅游股份有限公司               2021 年度|单位：元
项      目|2021 年度 2020 年度
一、经营活动产生的现金流量：|
销售商品、提供劳务收到的现金|279,195,263.45 246,449,507.52
客户存款和同业存放款项净增加额|
向中央银行借款净增加额|
向其他金融机构拆入资金净增加额|
收到原保险合同保费取得的现金|
收到再保业务现金净额|
保户储金及投资款净增加额|
收取利息、手续费及佣金的现金|
拆入资金净增加额|
回购业务资金净增加额|
代理买卖证券收到的现金净额|
收到的税费返还|2,061,819.48 1,181,205.59
收到其他与经营活动有关的现金|15,568,211.31 23,887,510.74
经营活动现金流入小计|296,825,294.24 271,518,223.85
购买商品、接受劳务支付的现金|120,979,187.92 105,524,585.82
客户贷款及垫款净增加额|
存放中央银行和同业款项净增加额|
支付原保险合同赔付款项的现金|
拆出资金净增加额|
支付利息、手续费及佣金的现金|
支付保单红利的现金|
支付给职工以及为职工支付的现金|160,304,814.78 163,393,466.99
支付的各项税费|20,423,165.17 16,479,108.99
支付其他与经营活动有关的现金|26,249,912.53 30,584,330.18
经营活动现金流出小计|327,957,080.40 315,981,491.98
经营活动产生的现金流量净额|-31,131,786.16 -44,463,268.13
二、投资活动产生的现金流量：|
收回投资收到的现金|5,180,200.00 2,500,000.00
取得投资收益收到的现金|18,076,083.05 52,745,725.48
处置固定资产、无形资产和其他长期资产收回的现金净额|21,497,678.26 13,920,041.52
处置子公司及其他营业单位收到的现金净额|
收到其他与投资活动有关的现金|
投资活动现金流入小计|44,753,961.31 69,165,767.00
购建固定资产、无形资产和其他长期资产支付的现金|65,846,408.80 68,472,440.14
投资支付的现金|4,492,700.00 400,000.00
质押贷款净增加额|
取得子公司及其他营业单位支付的现金净额|
支付其他与投资活动有关的现金|63,305.74
投资活动现金流出小计|70,339,108.80 68,935,745.88
投资活动产生的现金流量净额|-25,585,147.49 230,021.12
三、筹资活动产生的现金流量：|
吸收投资收到的现金|250,000.00
其中：子公司吸收少数股东投资收到的现金|250,000.00
取得借款收到的现金|344,775,420.00 539,500,000.00
收到其他与筹资活动有关的现金|
筹资活动现金流入小计|345,025,420.00 539,500,000.00
偿还债务支付的现金|207,970,000.00 434,320,000.00
分配股利、利润或偿付利息支付的现金|52,226,865.05 59,976,918.15
其中：子公司支付给少数股东的股利、利润|
支付其他与筹资活动有关的现金|5,106,446.08
筹资活动现金流出小计|265,303,311.13 494,296,918.15
筹资活动产生的现金流量净额|79,722,108.87 45,203,081.85
四、汇率变动对现金及现金等价物的影响|-16,770.00
五、现金及现金等价物净增加额|22,988,405.22 969,834.84
加：期初现金及现金等价物余额|46,196,409.76 45,226,574.92
六、期末现金及现金等价物余额|69,184,814.98 46,196,409.76
法定代表人：李飞影                 主管会计工作负责人：肖笛波|会计机构负责人：陈丽华
