page|57
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,251,742,630.06|1,279,895,534.96
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加|||
page|58
额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||53,996,635.18|87,670,774.01
收到其他与经营活动有关的现金||47,517,264.61|59,545,044.87
经营活动现金流入小计||1,353,256,529.85|1,427,111,353.84
购买商品、接受劳务支付的现金||919,150,182.25|987,607,063.70
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||130,739,111.44|140,693,632.57
支付的各项税费||49,028,765.16|39,725,241.56
支付其他与经营活动有关的现金||97,536,559.01|142,197,208.98
经营活动现金流出小计||1,196,454,617.86|1,310,223,146.81
经营活动产生的现金流量净额||156,801,911.99|116,888,207.03
二、投资活动产生的现金流量：|||
收回投资收到的现金||10,000,000.00|
取得投资收益收到的现金||27,516,285.41|33,465,667.68
处置固定资产、无形资产和其他长期资产收回的现金净额||239,147.11|1,271.84
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||992,000,017.11|1,197,836,842.52
投资活动现金流入小计||1,029,755,449.63|1,231,303,782.04
购建固定资产、无形资产和其他长期资产支付的现金||28,420,812.97|133,132,125.17
投资支付的现金||137,000,000.00|5,455,209.36
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||820,000,000.00|971,000,000.00
投资活动现金流出小计||985,420,812.97|1,109,587,334.53
投资活动产生的现金流量净额||44,334,636.66|121,716,447.51
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||300,000,000.00
page|59
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||300,000,000.00
偿还债务支付的现金|||300,000,000.00
分配股利、利润或偿付利息支付的现金||40,021,250.00|11,147,125.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||40,021,250.00|311,147,125.00
筹资活动产生的现金流量净额||-40,021,250.00|-11,147,125.00
四、汇率变动对现金及现金等价物的影响||-14,526,424.24|1,090,904.67
五、现金及现金等价物净增加额||146,588,874.41|228,548,434.21
加：期初现金及现金等价物余额||1,167,151,699.97|938,603,265.76
六、期末现金及现金等价物余额||1,313,740,574.38|1,167,151,699.97
