page|70
项目|附注 （五）|2021 年度|2020 年度
一、营业总收入|||139,944,139,630.43 133,577,639,721.75
其中：营业收入|61||139,944,139,630.43 133,577,639,721.75
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||135,321,921,103.60 129,318,711,285.02
其中：营业成本|61||119,825,733,344.13 114,214,268,306.77
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|516,827,314.62|483,369,876.42
销售费用|63|988,242,513.93|757,726,246.31
管理费用|64|7,697,969,763.37|8,252,025,285.19
研发费用|65|6,351,562,962.56|5,572,853,282.82
财务费用|66|-58,414,795.01|38,468,287.51
其中：利息费用||448,392,913.93|412,262,627.62
利息收入||670,077,455.29|601,136,511.77
加：其他收益|67|631,167,327.28|428,515,081.56
投资收益（损失以“－”号填列）|68|3,556,280,332.52|3,575,073,350.06
其中：对联营企业和合营企业的投资收益||2,331,752,838.04|2,518,955,433.31
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|71
公允价值变动收益（损失以“－”号填列）||347,867.00|-347,867.00
信用减值损失（损失以“-”号填列）|71|-54,712,488.84|-82,666,435.64
资产减值损失（损失以“-”号填列）|72|-351,951,489.62|-319,082,713.84
资产处置收益（损失以“－”号填列）|73|524,991,397.71|58,802,149.58
三、营业利润（亏损以“－”号填列）||8,928,341,472.88|7,919,222,001.45
加：营业外收入|74|67,970,059.99|86,977,244.15
减：营业外支出|75|32,609,460.06|66,299,653.79
四、利润总额（亏损总额以“－”号填列）||8,963,702,072.81|7,939,899,591.81
减：所得税费用|76|972,214,455.97|961,815,542.67
五、净利润（净亏损以“－”号填列）||7,991,487,616.84|6,978,084,049.14
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||7,991,487,616.84|6,978,084,049.14
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||6,468,939,920.38|5,403,276,869.51
2.少数股东损益（净亏损以“-”号填列）||1,522,547,696.46|1,574,807,179.63
六、其他综合收益的税后净额||570,295,851.62|97,208,183.45
（一）归属母公司所有者的其他综合收益的税后净额|57|573,318,910.22|122,275,793.53
1．不能重分类进损益的其他综合收益||714,872,438.37|310,763,573.87
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益||-282,856.63|-4,550,944.60
（3）其他权益工具投资公允价值变动||715,155,295.00|315,314,518.47
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-141,553,528.15|-188,487,780.34
（1）权益法下可转损益的其他综合收益||-16,326,022.80|-34,122,920.04
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-125,227,505.35|-154,364,860.30
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|57|-3,023,058.60|-25,067,610.08
七、综合收益总额||8,561,783,468.46|7,075,292,232.59
（一）归属于母公司所有者的综合收益总额||7,042,258,830.60|5,525,552,663.04
（二）归属于少数股东的综合收益总额||1,519,524,637.86|1,549,739,569.55
八、每股收益：|||
（一）基本每股收益(元/股)|78|2.052|1.714
（二）稀释每股收益(元/股)|78|不适用|不适用
