page|91
项目|附注|本期金额||上期金额|
||合并|公司|合并|公司
一、经营活动产生的现金流量：|||||
销售商品、提供劳务收到的现金||88,980,320,415.29|554,789,548.19|78,653,253,469.40|
收到的税费返还|||||
收到其他与经营活动有关的现金|五、60|40,334,579,375.54|31,930,978,493.60|32,316,802,380.33|17,001,988,343.72
经营活动现金流入小计||129,314,899,790.83|32,485,768,041.79|110,970,055,849.73|17,001,988,343.72
购买商品、接受劳务支付的现金||74,325,177,698.98||61,803,924,357.52|
支付给职工以及为职工支付的现金||7,588,057,987.35|114,646,095.24|6,469,567,009.20|92,805,468.64
支付的各项税费||6,621,686,266.34|11,379,558.88|6,109,881,776.83|10,000,210.83
支付其他与经营活动有关的现金|五、60|32,312,529,002.92|25,463,624,198.00|28,390,351,841.82|5,092,738,600.23
经营活动现金流出小计||120,847,450,955.59|25,589,649,852.12|102,773,724,985.37|5,195,544,279.70
经营活动产生的现金流量净额||8,467,448,835.24|6,896,118,189.67|8,196,330,864.36|11,806,444,064.02
二、投资活动产生的现金流量：|||||
收回投资收到的现金||1,635,538,700.56|1,250,000,000.00|29,650,272,390.39|29,170,200,000.00
取得投资收益收到的现金||1,748,866,909.99|261,378,423.64|415,877,995.42|337,775,974.26
处置固定资产、无形资产和其他长期资产收回的现金净额||31,224,058.24||18,282,175.00|
处置子公司及其他营业单位收到的现金净额||582,681,984.05|250,713,695.55|214,424,944.50|220,250,000.80
收到其他与投资活动有关的现金|五、60|||421,390,456.15|
投资活动现金流入小计||3,998,311,652.84|1,762,092,119.19|30,720,247,961.46|29,728,225,975.06
购置固定资产、无形资产和其他长期资产支付的现金||5,195,887,690.62|8,826,939.52|7,851,261,096.31|6,018,949.56
投资支付的现金||12,711,932,130.03|1,018,626,501.03|36,249,510,516.83|32,875,270,826.64
取得子公司及其他营业单位支付的现金净额|||||
支付其他与投资活动有关的现金|五、60||||
投资活动现金流出小计||17,907,819,820.65|1,027,453,440.55|44,100,771,613.14|32,881,289,776.20
投资活动产生的现金流量净额||-13,909,508,167.81|734,638,678.64|-13,380,523,651.68|-3,153,063,801.14
三、筹资活动产生的现金流量：|||||
吸收投资收到的现金||13,769,757,832.27|567,563,630.87|2,760,728,462.41|110,782,487.04
其中：子公司吸收少数股东投资收到的现金||13,202,194,201.40||2,649,945,975.09|
取得借款收到的现金||55,974,056,555.28|7,324,604,668.65|52,311,069,200.79|7,556,110,000.00
发行债券收到的现金||12,194,724,700.00|8,800,000,000.00|7,088,200,000.00|4,180,000,000.00
收到其他与筹资活动有关的现金|五、60|3,208,906,857.20||1,362,421,878.74|40,000,000.00
筹资活动现金流入小计||85,147,445,944.75|16,692,168,299.52|63,522,419,541.94|11,886,892,487.04
偿还债务支付的现金||59,282,274,128.99|17,796,030,000.00|47,206,208,095.59|14,632,192,004.70
分配股利、利润或偿付利息支付的现金||7,921,113,704.69|4,257,896,617.92|6,989,968,413.73|5,074,690,164.24
其中：子公司支付少数股东的股利、利润||15,419,852.04|||
支付其他与筹资活动有关的现金|五、60|4,227,249,547.38|176,804,588.84|1,267,626,026.28|511,017,970.92
筹资活动现金流出小计||71,430,637,381.06|22,230,731,206.76|55,463,802,535.60|20,217,900,139.86
筹资活动产生的现金流量净额||13,716,808,563.69|-5,538,562,907.24|8,058,617,006.34|-8,331,007,652.82
四、汇率变动对现金及现金等价物的影响||-28,331,303.64||-17,192,361.63|
五、现金及现金等价物净增加额||8,246,417,927.48|2,092,193,961.07|2,857,231,857.39|322,372,610.06
加：期初现金及现金等价物余额||16,168,294,277.21|1,066,133,691.46|13,311,062,419.82|743,761,081.40
六、期末现金及现金等价物余额||24,414,712,204.69|3,158,327,652.53|16,168,294,277.21|1,066,133,691.46
