page|92
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||1,854,462,070.76  2,652,171,909.54
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||176,229,728.72|168,263,758.03
收到其他与经营活动有关的现金|（八十）|56,968,182.36|44,868,228.21
经营活动现金流入小计|||2,087,659,981.84  2,865,303,895.78
购买商品、接受劳务支付的现金|||1,708,133,040.91  2,576,662,293.41
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||296,865,395.16|330,385,828.06
支付的各项税费||28,695,944.74|8,692,555.63
支付其他与经营活动有关的现金|（八十）|115,920,337.50|154,829,876.02
经营活动现金流出小计|||2,149,614,718.31  3,070,570,553.12
经营活动产生的现金流量净额||-61,954,736.47|-205,266,657.34
二、投资活动产生的现金流量：|||
收回投资收到的现金|||1,021,934.42
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||106,580,811.58|3,844,186.99
page|93
处置子公司及其他营业单位收到的现金净额||25,519,687.39|
收到其他与投资活动有关的现金|||
投资活动现金流入小计||132,100,498.97|4,866,121.41
购建固定资产、无形资产和其他长期资产支付的现金||93,303,194.23|622,051,484.78
投资支付的现金||3,187,850.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||21,358,595.00|
支付其他与投资活动有关的现金|||
投资活动现金流出小计||117,849,639.23|622,051,484.78
投资活动产生的现金流量净额||14,250,859.74|-617,185,363.37
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||757,752,407.92
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,122,033,995.08|828,984,015.29
收到其他与筹资活动有关的现金||159,201,500.00|
筹资活动现金流入小计|||1,281,235,495.08  1,586,736,423.21
偿还债务支付的现金||1,078,141,282.60|643,725,898.52
分配股利、利润或偿付利息支付的现金||28,904,438.52|39,459,992.57
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（八十）|113,507,058.03|45,327,913.07
筹资活动现金流出小计||1,220,552,779.15|728,513,804.16
筹资活动产生的现金流量净额||60,682,715.93|858,222,619.05
四、汇率变动对现金及现金等价物的影响||-50,210,649.71|-50,559,011.67
五、现金及现金等价物净增加额||-37,231,810.51|-14,788,413.33
加：期初现金及现金等价物余额||262,542,768.39|277,331,181.72
六、期末现金及现金等价物余额||225,310,957.88|262,542,768.39
