page|70
项目|附注||2019 年 12 月 31 日  2018 年 12 月 31 日
流动资产：|||
货币资金||299,807,491.22|194,319,750.78
结算备付金|||
拆出资金|||
交易性金融资产||271,023,226.75|
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|||75,918,686.16
应收账款||214,722,495.33|239,980,521.19
应收款项融资||48,507,652.42|
预付款项||14,969,325.92|18,104,240.57
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||40,359,721.15|8,836,369.70
其中：应收利息|||
应收股利|||
page|71
买入返售金融资产|||
存货||287,614,003.50|313,500,739.73
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||6,886,043.57|335,537,433.45
流动资产合计||1,183,889,959.86|1,186,197,741.58
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资||13,845,531.10|6,899,162.96
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产||40,306,145.83|37,789,002.72
固定资产||524,532,200.77|570,809,246.20
在建工程||137,417,382.07|19,780,097.28
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||111,767,341.90|105,953,291.34
开发支出|||
商誉||16,319,724.59|41,053,401.77
长期待摊费用||4,401,889.28|5,617,256.37
递延所得税资产||25,563,228.48|19,275,694.94
其他非流动资产||6,288,362.50|25,848,447.66
非流动资产合计||880,441,806.52|833,025,601.24
资产总计||2,064,331,766.38|2,019,223,342.82
流动负债：|||
短期借款||96,016,985.35|4,394,488.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据||18,540,000.00|10,000,000.00
应付账款||252,080,882.83|247,186,489.21
预收款项||43,161,703.86|16,239,559.30
page|72
合同负债|||
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||31,308,454.16|32,312,571.17
应交税费||23,062,415.87|23,216,188.80
其他应付款||195,162,491.71|229,634,919.72
其中：应付利息|||
应付股利||589,750.00|
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||46,054,615.52|4,759,792.53
其他流动负债|||
流动负债合计||705,387,549.30|567,744,008.73
非流动负债：|||
保险合同准备金|||
长期借款||162,013,650.69|205,494,640.42
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款||5,368,323.07|6,018,992.81
长期应付职工薪酬|||
预计负债||916,453.35|3,194,277.69
递延收益||18,072,603.71|8,017,720.63
递延所得税负债||21,138,417.56|20,782,984.99
其他非流动负债|||
非流动负债合计||207,509,448.38|243,508,616.54
负债合计||912,896,997.68|811,252,625.27
所有者权益（或股东权益）：|||
实收资本（或股本）||160,364,100.00|123,640,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||478,404,907.00|687,007,497.00
减：库存股||27,715,590.00|44,189,600.00
其他综合收益||-10,756,950.70|-3,909,485.87
专项储备|||
盈余公积||84,595,321.63|77,966,060.59
一般风险准备|||
page|73
未分配利润||448,490,082.68|359,569,482.77
归属于母公司所有者权益（或股东权益）合计||1,133,381,870.61|1,200,083,954.49
少数股东权益||18,052,898.09|7,886,763.06
所有者权益（或股东权益）合计||1,151,434,768.70|1,207,970,717.55
负债和所有者权益（或股东权益）总计||2,064,331,766.38|2,019,223,342.82
