page|71
项目|附注|2019 年 12 月 31 日合并|2018 年 12 月 31 日 合并|2019 年 12 月 31 日 公司|2018 年 12 月 31 日 公司
流动资产|||||
货币资金|四(1)|72,934|197,521|1,040|35,911
应收账款|四(2)|30,492|46,591|-|-
预付款项|四(3)|22,036|19,329|-|-
其他应收款|四(4)、十五(1)|190,246|290,612|2,105,828|2,030,591
存货|四(5)|641,865|678,809|-|12,160
其他流动资产|四(6)|4,997|15,507|-|10,652
流动资产合计||962,570|1,248,369|2,106,868|2,089,314
|||||
非流动资产|||||
可供出售金融资产|四(7)|—|26,002|—|-
长期股权投资|四(8)、十五(2)|946,672|938,851|601,846|664,000
投资性房地产|四(9)|3,850,210|4,345,340|-|-
固定资产|四(10)|9,470|10,663|183|196
无形资产|四(11)|10,430|10,954|-|-
商誉|四(12)|-|-|-|-
长期待摊费用|四(13)|2,072|2,983|-|-
递延所得税资产|四(14)|792|109|-|-
非流动资产合计||4,819,646|5,334,902|602,029|664,196
|||||
资产总计||5,782,216|6,583,271|2,708,897|2,753,510
|||||
流动负债|||||
应付账款|四(16)|74,343|77,262|-|-
预收款项|四(17)|92,100|78,490|-|-
应付职工薪酬|四(18)|7,853|10,577|1|1
应交税费|四(19)|128,188|89,109|53|62
其他应付款|四(20)|185,946|136,107|355,101|104,891
一年内到期的非流动负债|四(21)|402,208|911,578|241,300|737,979
流动负债合计||890,638|1,303,123|596,455|842,933
|||||
非流动负债|||||
长期借款|四(22)|935,097|1,040,451|195,628|-
应付债券|四(23)|-|-|-|-
长期应付款|四(24)|51,047|51,690|-|-
递延所得税负债|四(14)|391,110|455,975|-|412
非流动负债合计||1,377,254|1,548,116|195,628|412
|||||
负债合计||2,267,892|2,851,239|792,083|843,345
|||||
股东权益|||||
股本|四(25)|749,913|749,913|749,913|749,913
资本公积|四(26)|511,152|511,152|609,753|609,753
其他综合收益|四(27)|171,924|171,940|-|-
盈余公积|四(28)|117,817|117,152|117,817|117,152
未分配利润|四(29)|1,338,784|1,424,062|439,331|433,347
归属于母公司股东权益合计||2,889,590|2,974,219|1,916,814|1,910,165
少数股东权益||624,734|757,813|-|-
股东权益合计||3,514,324|3,732,032|1,916,814|1,910,165
|||||
负债和股东权益总计||5,782,216|6,583,271|2,708,897|2,753,510
