page|72
项目|附注|2019 年度 合并|2018 年度 合并|2019 年度 公司|2018 年度 公司
|||||
一、营业收入|四(30)|242,774|288,849|13,000|-
减：   营业成本|四(30)|(33,974)|(59,733)|(12,160)|-
税金及附加|四(31)|(51,671)|(45,679)|(88)|(125)
销售费用|四(32)|(25,750)|(37,284)|-|-
管理费用|四(33)|(92,869)|(108,676)|(11,720)|(9,085)
财务费用|四(34)|(121,488)|(155,776)|(55,701)|(73,171)
其中：利息费用||121,946|161,473|75,751|75,751
利息收入||1,329|5,654|2,595|2,595
加：   其他收益||368|116,579|22|-
资产减值损失|四(36)|(13,735)|(324)|(10,000)|-
信用减值损失|四(37)|(3,285)|—|(77)|—
投资收益|四(38),十五(3)|60,150|6,170|80,933|527
其中：对联营企业和合营企业的投资收益||21,146|1,763|1,426|527
公允价值变动收益|四(39)|1,955|142,785|-|-
资产处置收益||-|77|-|-
|||||
二、营业(亏损)/利润||(37,525)|146,988|4,209|(81,854)
加：  营业外收入|四(40)|1,912|8,612|-|-
减：  营业外支出|四(41)|(291)|(2,808)|(10)|(20)
|||||
三、(亏损)/利润总额||(35,904)|152,792|4,199|(81,874)
减：  所得税费用|四(42)|(29,547)|(68,060)|4,481|1,563
|||||
四、净(亏损)/利润||(65,451)|84,732|8,680|(80,311)
按经营持续性分类|||||
持续经营净(亏损)/利润||(65,451)|84,732|8,680|(80,311)
终止经营净利润||-|-|-|-
按所有权归属分类|||||
少数股东损益||16,310|73,268|-|-
归属于母公司股东的净(亏损)/利润||(81,761)|11,464|8,680|(80,311)
|||||
五、其他综合收益的税后净额|四(27)|(16)|(149)|-|-
归属于母公司股东的其他综合收益的税后净额||(16)|(149)|-|-
将重分类进损益的其他综合收益||(16)|(149)|-|-
权益法下在被投资单位以后将重分类进损益的         其他综合收益中享有的份额||-|(125)|-|-
外币财务报表折算差额||(16)|(24)|-|-
归属于少数股东的其他综合收益的税后净额||-|-|-|-
|||||
六、综合收益总额||(65,467)|84,583|8,680|(80,311)
归属于母公司股东的综合收益总额||(81,777)|11,315|8,680|(80,311)
归属于少数股东的综合收益总额||16,310|73,268|-|-
|||||
七、每股收益|||||
基本每股收益(人民币元)|四(43)|(0.11)|0.02|——|——
稀释每股收益(人民币元)|四(43)|(0.11)|0.02|——|——
