page|88
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,162,380,820.99|1,190,303,281.80
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||3,905,359.69|2,382,416.83
收到其他与经营活动有关的现金||63,973,412.87|44,920,532.39
经营活动现金流入小计||1,230,259,593.55|1,237,606,231.02
购买商品、接受劳务支付的现金||708,472,955.29|674,582,293.91
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
page|89
支付给职工及为职工支付的现金||185,406,404.36|157,023,603.18
支付的各项税费||88,263,699.70|57,313,657.19
支付其他与经营活动有关的现金||88,425,499.62|109,382,652.10
经营活动现金流出小计||1,070,568,558.97|998,302,206.38
经营活动产生的现金流量净额||159,691,034.58|239,304,024.64
二、投资活动产生的现金流量：|||
收回投资收到的现金||255,000,000.00|200,000,000.00
取得投资收益收到的现金||4,399,829.35|9,106,276.81
处置固定资产、无形资产和其他长期资产收回的现金净额||349,403.00|424,114.38
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||259,749,232.35|209,530,391.19
购建固定资产、无形资产和其他长期资产支付的现金||215,875,646.35|230,827,926.56
投资支付的现金||220,000,000.00|35,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||579,742,974.22|
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,015,618,620.57|265,827,926.56
投资活动产生的现金流量净额||-755,869,388.22|-56,297,535.37
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||150,000.00|
其中：子公司吸收少数股东投资收到的现金||150,000.00|
取得借款收到的现金||938,714,215.93|431,685,138.90
收到其他与筹资活动有关的现金||32,759,100.00|
筹资活动现金流入小计||971,623,315.93|431,685,138.90
偿还债务支付的现金||261,400,000.00|613,224,999.30
分配股利、利润或偿付利息支付的现金||25,443,363.10|26,125,841.34
其中：子公司支付给少数股东的股利、利润||5,762.88|2,652.00
支付其他与筹资活动有关的现金||1,801,829.37|94,083,372.04
筹资活动现金流出小计||288,645,192.47|733,434,212.68
筹资活动产生的现金流量净额||682,978,123.46|-301,749,073.78
四、汇率变动对现金及现金等价物的影响||148,339.79|-171,499.09
五、现金及现金等价物净增加额||86,948,109.61|-118,914,083.60
加：期初现金及现金等价物余额||143,818,750.55|262,732,834.15
六、期末现金及现金等价物余额||230,766,860.16|143,818,750.55
