page|121
||（除另有注明外，金额单位均为人民币百万元）|
||2019年|2018年
|附注八|12月31日|12月31日
资产|||
货币资金|1|24,064|38,681
以公允价值计量且其变动|||
计入当期损益的金融资产|2|27,032|20,551
买入返售金融资产|3|53,038|23,053
应收保费|4|39,292|29,627
应收分保账款|5|16,175|14,110
应收分保未到期责任准备金||10,367|9,739
应收分保未决赔款准备金||17,058|16,591
应收分保寿险责任准备金||15|6
应收分保长期健康险责任准备金||1,534|450
保户质押贷款|6|4,508|3,537
其他应收款|7|12,817|13,571
定期存款|8|87,009|98,653
可供出售金融资产|9|316,901|284,363
持有至到期投资|10|140,398|128,177
分类为贷款及应收款的投资|11|182,858|164,512
长期股权投资|12|117,083|107,492
存出资本保证金|13|12,994|13,794
投资性房地产|14|12,445|12,782
固定资产|15|25,636|25,245
使用权资产|16|3,307|–
无形资产|17|7,807|6,276
递延所得税资产|18|8,699|9,028
其他资产|19|11,734|11,452
资产总计||1,132,771|1,031,690
page|122
|附注八|12月31日|12月31日
负债和股东权益|||
负债|||
卖出回购金融资产款|22|58,263|54,889
预收保费||26,798|28,249
应付手续费及佣金||8,240|7,700
应付分保账款||19,046|15,551
应付职工薪酬|23|18,756|17,306
应交税费|24|8,551|10,846
应付赔付款||10,272|10,994
应付保单红利||3,816|3,632
其他应付款|25|15,622|12,630
保户储金及投资款|26|41,014|42,977
未到期责任准备金|27|160,608|141,474
未决赔款准备金|27|153,920|141,066
寿险责任准备金|27|270,475|249,935
长期健康险责任准备金|27|30,683|23,511
保费准备金|28|2,388|3,333
应付债券|29|48,780|57,732
租赁负债|30|3,051|–
递延所得税负债|18|1,486|1,021
其他负债|31|4,163|3,418
负债合计||885,932|826,264
股东权益|||
股本|32|44,224|44,224
资本公积|33|7,516|7,571
其他综合收益||11,783|(40)
盈余公积|34|12,551|12,041
一般风险准备|35|11,885|9,875
大灾风险利润准备金|36|1,235|1,705
未分配利润|37|93,939|77,092
归属于母公司股东权益合计||183,133|152,468
少数股东权益||63,706|52,958
股东权益合计||246,839|205,426
