page|51
项目|附注七|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|232,081,891.43|230,536,436.76
结算备付金|||
拆出资金|||
交易性金融资产|2||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|3||209,300.00
应收票据|4||100,000.00
应收账款|5|117,236,433.67|113,711,426.10
应收款项融资|6|100,000.00|
预付款项|7|11,245,365.41|13,367,959.06
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|14,091,715.03|7,553,173.34
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|9|308,747,671.59|308,578,561.08
持有待售资产|10||
一年内到期的非流动资产|11||
page|52
其他流动资产|12|24,154,641.34|14,856,727.98
流动资产合计||707,657,718.47|688,913,584.32
非流动资产：|||
发放贷款和垫款|||
债权投资|13||
可供出售金融资产|||2,800,000.00
其他债权投资|14||
持有至到期投资|||
长期应收款|15||
长期股权投资|16||2,322,830.33
其他权益工具投资|17||
其他非流动金融资产|18|2,800,000.00|
投资性房地产|19|2,713,946.69|2,876,549.09
固定资产|20|351,509,373.12|308,866,762.35
在建工程|21|82,207,208.32|109,971,195.30
生产性生物资产|22||
油气资产|23||
使用权资产|24||
无形资产|25|112,135,195.67|110,066,549.18
开发支出|26||
商誉|27|97,803,639.18|71,394,588.84
长期待摊费用|28|13,907,403.57|17,072,942.40
递延所得税资产|29|9,471,125.72|7,672,409.02
其他非流动资产|30|52,130,234.89|12,220,133.54
非流动资产合计||724,678,127.16|645,263,960.05
资产总计||1,432,335,845.63|1,334,177,544.37
流动负债：|||
短期借款|31|130,765,466.30|72,550,364.36
向中央银行借款|||
拆入资金|||
交易性金融负债|32||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|33|14,439,889.36|766,531.40
应付票据|34|41,044,207.91|35,679,000.00
应付账款|35|110,283,265.16|135,213,997.39
预收款项|36|1,715,203.44|1,347,778.96
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|37|23,868,897.21|21,289,976.69
应交税费|38|16,752,779.83|18,336,208.90
其他应付款|39|23,668,347.95|7,984,408.49
其中：应付利息|||215,319.01
应付股利|||
应付手续费及佣金|||
应付分保账款|||
page|53
持有待售负债|40||
一年内到期的非流动负债|41|6,282,729.38|6,378,791.85
其他流动负债|42||
流动负债合计||368,820,786.54|299,547,058.04
非流动负债：|||
保险合同准备金|||
长期借款|43|17,101,869.88|18,994,654.57
应付债券|44||
其中：优先股|||
永续债|||
租赁负债|45||
长期应付款|46|3,106,432.66|6,135,600.39
长期应付职工薪酬|47||
预计负债|48||
递延收益|49||
递延所得税负债|||
其他非流动负债|50||
非流动负债合计||20,208,302.54|25,130,254.96
负债合计||389,029,089.08|324,677,313.00
所有者权益（或股东权益）：|||
实收资本（或股本）|51|100,000,000.00|100,000,000.00
其他权益工具|52||
其中：优先股|||
永续债|||
资本公积|53|588,658,126.58|588,658,126.58
减：库存股|54||
其他综合收益|55|4,617,444.63|2,376,173.46
专项储备|56||
盈余公积|57|46,058,545.23|42,895,893.91
一般风险准备|||
未分配利润|58|290,321,038.94|263,418,268.11
归属于母公司所有者权益（或股东权益）合计||1,029,655,155.38|997,348,462.06
少数股东权益||13,651,601.17|12,151,769.31
所有者权益（或股东权益）合计||1,043,306,756.55|1,009,500,231.37
负债和所有者权益（或股东权益）总计||1,432,335,845.63|1,334,177,544.37
