page|75
资产|附注五|期末余额|上年年末余额
流动资产：|||
货币资金|（一）|6,679,081|6,587,793
应收票据||27,393|1,645,555
应收账款|（二）|10,110,108|10,616,329
应收款项融资|（三）|1,581,942|-
预付款项|（四）|842,651|526,378
其他应收款|（五）|1,310,857|1,776,592
存货|（六）|2,347,465|3,222,591
一年内到期的非流动资产|（七）|157,890|96,552
其他流动资产|（八）|1,798,558|2,127,721
流动资产合计||24,855,945|26,599,511
非流动资产：|||
债权投资|（九）|170,066|231,358
长期股权投资|（十）|12,006,552|11,759,933
其他非流动金融资产|（十一）|307,890|279,439
投资性房地产|（十二）|32,283|32,752
固定资产|（十三）|156,043,229|153,871,709
在建工程|（十四）|22,409,048|16,704,993
使用权资产|（十五）|2,290,514|3,088,463
无形资产|（十六）|11,886,373|13,270,795
商誉|（十七）|864,415|951,651
递延所得税资产|（十八）|787,431|653,916
其他非流动资产|（十九）|2,957,376|2,431,075
非流动资产合计||209,755,177|203,276,084
资产总计||234,611,122|229,875,595
负债和股东权益|||
流动负债：|||
短期借款|（二十）|20,778,711|24,066,734
应付票据|（二十一）|368,597|789,927
应付账款|（二十二）|17,132,682|16,882,042
合同负债|（二十三）|1,939,642|1,757,069
应付职工薪酬|（二十四）|231,515|236,568
应交税费|（二十五）|1,705,488|1,574,193
其他应付款|（二十六）|5,443,515|5,157,063
一年内到期的非流动负债|（二十七）|11,437,402|13,286,633
其他流动负债|（二十八）|91,869|3,573,409
流动负债合计||59,129,421|67,323,638
非流动负债：|||
长期借款|（二十九）|64,402,760|64,623,530
应付债券|（三十）|10,495,397|10,485,671
租赁负债|（三十一）|1,175,083|2,060,661
长期应付款|（三十二）|409,717|566,962
长期应付职工薪酬||15,538|16,907
预计负债|（三十三）|236,717|127,532
递延收益|（三十四）|4,186,370|3,843,788
递延所得税负债|（十八）|1,595,125|1,771,898
非流动负债合计||82,516,707|83,496,949
负债合计||141,646,128|150,820,587
股东权益：|||
股本|（三十五）|9,862,977|9,862,977
其他权益工具|（三十六）|24,645,175|16,129,055
其中：永续债|（三十六）|24,645,175|16,129,055
资本公积|（三十七）|13,542,737|13,327,312
其他综合收益|（三十八）|-12,978|-18,778
专项储备|（三十九）|289,688|268,051
盈余公积|（四十）|3,819,537|3,389,059
未分配利润|（四十一）|19,941,845|18,552,761
归属于公司股东权益合计||72,088,981|61,510,437
少数股东权益||20,876,013|17,544,571
股东权益合计||92,964,994|79,055,008
负债和股东权益总计||234,611,122|229,875,595
