page|79
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||103,102,713|104,440,688
收到的税费返还||130,461|115,592
收到其他与经营活动有关的现金|（五十四）|3,771,960|2,700,930
经营活动现金流入小计||107,005,134|107,257,210
购买商品、接受劳务支付的现金||66,429,225|72,832,829
支付给职工以及为职工支付的现金||6,411,253|6,172,216
支付的各项税费||5,549,884|4,840,277
支付其他与经营活动有关的现金|（五十四）|3,366,620|2,035,007
经营活动现金流出小计||81,756,982|85,880,329
经营活动产生的现金流量净额|（五十五）|25,248,152|21,376,881
二、投资活动产生的现金流量|||
收回投资收到的现金||308,625|73,280
取得投资收益收到的现金||475,650|308,927
处置固定资产、无形资产和其他长期资产收回的现金净额||268,424|151,377
处置子公司及其他营业单位收到的现金净额||7,509|-
收到其他与投资活动有关的现金|（五十四）|198,712|149,715
投资活动现金流入小计||1,258,920|683,299
购建固定资产、无形资产和其他长期资产支付的现金||18,653,784|15,089,119
投资支付的现金||439,909|277,207
支付其他与投资活动有关的现金|（五十四）|216,109|102,939
投资活动现金流出小计||19,309,802|15,469,265
投资活动产生的现金流量净额||-18,050,882|-14,785,966
三、筹资活动产生的现金流量|||
吸收投资收到的现金||11,757,469|9,428,028
其中：子公司吸收少数股东投资收到的现金||3,257,469|2,428,028
取得借款收到的现金||66,649,519|76,223,373
筹资活动现金流入小计||78,406,988|85,651,401
偿还债务支付的现金||77,316,063|84,348,776
分配股利、利润或偿付利息支付的现金||7,989,816|7,491,106
其中：子公司支付给少数股东的股利、利润||853,170|566,183
支付其他与筹资活动有关的现金|（五十四）|265,482|638,292
筹资活动现金流出小计||85,571,361|92,478,174
筹资活动产生的现金流量净额||-7,164,373|-6,826,773
四、汇率变动对现金及现金等价物的影响||-|-
五、现金及现金等价物净增加额||32,897|-235,858
加：期初现金及现金等价物余额||6,465,560|6,701,418
六、期末现金及现金等价物余额||6,498,457|6,465,560
