page|77
项目|附注五|本期金额|上期金额
一、营业总收入||90,744,016|93,654,431
其中：营业收入|（四十二）|90,744,016|93,654,431
二、营业总成本||83,401,784|88,510,062
其中：营业成本|（四十二）|76,075,537|80,482,483
税金及附加|（四十三）|1,119,285|1,119,048
管理费用|（四十四）|1,774,380|1,719,152
财务费用|（四十五）|4,432,582|5,189,379
加：其他收益|（三十四）、（五十八）|494,566|513,090
投资收益（损失以“-”号填列）|（四十六）|566,677|780,544
其中：对联营企业和合营企业的投资收益|（四十六）|521,557|757,145
公允价值变动收益（损失以“-”号填列）|（四十七）|-1,251|-9,690
信用减值损失（损失以“-”号填列）|（四十八）|-49,213|-151,156
资产减值损失（损失以“-”号填列）|（四十九）|-1,597,266|-781,877
资产处置收益（损失以“-”号填列）|（五十）|8,865|-2,008
三、营业利润（亏损以“-”号填列）||6,764,610|5,493,272
加：营业外收入|（五十一）|560,039|264,274
减：营业外支出|（五十二）|280,599|220,971
四、利润总额（亏损总额以“-”号填列）||7,044,050|5,536,575
减：所得税费用|（五十三）|1,267,315|1,098,031
五、净利润（净亏损以“-”号填列）||5,776,735|4,438,544
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||5,776,735|4,438,544
2．终止经营净利润（净亏损以“-”号填列）||-|-
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||4,179,447|3,406,920
2．少数股东损益（净亏损以“-”号填列）||1,597,288|1,031,624
六、其他综合收益的税后净额||5,800|22,375
归属于母公司股东的其他综合收益的税后净额|（三十八）|5,800|21,627
（一）将重分类进损益的其他综合收益||5,800|21,627
1．权益法下可转损益的其他综合收益||5,800|21,627
归属于少数股东的其他综合收益的税后净额||-|748
七、综合收益总额||5,782,535|4,460,919
归属于母公司股东的综合收益总额||4,185,247|3,428,547
归属于少数股东的综合收益总额||1,597,288|1,032,372
八、每股收益：|||
（一）基本每股收益（元/股）||0.33|0.29
（二）稀释每股收益（元/股）||不适用|不适用
