page|73
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,428,951,435.22|5,267,186,687.56
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||13,085,997.28|7,487,307.37
page|74
收到其他与经营活动有关的现金||123,469,149.42|116,546,001.62
经营活动现金流入小计||4,565,506,581.92|5,391,219,996.55
购买商品、接受劳务支付的现金||3,584,336,693.38|4,430,399,098.50
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||342,211,500.60|308,385,566.81
支付的各项税费||103,942,727.93|75,685,949.08
支付其他与经营活动有关的现金||261,812,648.64|205,566,056.22
经营活动现金流出小计||4,292,303,570.55|5,020,036,670.61
经营活动产生的现金流量净额||273,203,011.37|371,183,325.94
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||1,264,969.46|1,897,804.89
处置固定资产、无形资产和其他长期资产收回的现金净额||2,348,318.77|1,000,946.16
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||4,924,922.55|
投资活动现金流入小计||8,538,210.78|2,898,751.05
购建固定资产、无形资产和其他长期资产支付的现金||323,955,075.09|170,545,251.73
投资支付的现金|||30,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||323,955,075.09|200,545,251.73
投资活动产生的现金流量净额||-315,416,864.31|-197,646,500.68
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||1,000,000.00
其中：子公司吸收少数股东投资收到的现金|||1,000,000.00
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||1,000,000.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||51,000,000.00|24,480,000.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||3,736,776.80|
筹资活动现金流出小计||54,736,776.80|24,480,000.00
筹资活动产生的现金流量净额||-54,736,776.80|-23,480,000.00
四、汇率变动对现金及现金等价物的影响||-468,027.79|-872,526.57
五、现金及现金等价物净增加额||-97,418,657.53|149,184,298.69
加：期初现金及现金等价物余额||860,321,700.30|711,137,401.61
page|75
六、期末现金及现金等价物余额||762,903,042.77|860,321,700.30
