page|72
项目|附注|2020 年度|2019 年度
一、营业总收入||42,905,970,995.45|47,362,153,340.22
其中：营业收入|七 (61)|42,830,768,142.95|47,286,043,656.13
利息收入|||
已赚保费||75,202,852.50|76,109,684.09
手续费及佣金收入|||
二、营业总成本||44,750,958,060.73|48,241,803,117.93
其中：营业成本|七 (61)|38,847,435,232.89|42,292,256,576.80
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取担保赔偿准备金||31,624,044.41|27,418,990.45
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七 (62)|500,061,183.15|508,783,065.62
销售费用|七 (63)|1,537,828,110.02|2,100,401,480.65
管理费用|七 (64)|1,791,308,285.60|1,813,469,923.47
研发费用|七 (65)|1,676,691,229.41|1,183,105,814.32
财务费用|七 (66)|366,009,975.25|316,367,266.62
其中：利息费用||391,096,585.04|429,615,196.73
利息收入||116,941,219.65|180,358,611.36
加：其他收益|七 (67)|1,231,560,331.03|1,011,720,708.58
投资收益（损失以“－”号填列）|七 (68)|151,272,030.28|160,871,356.85
其中：对联营企业和合营企业的投资收益||100,631,860.26|-5,267,894.68
page|73
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七 (70)|15,627,834.74|3,495,251.39
信用减值损失（损失以“-”号填列）|七 (71)|-104,652,819.77|-82,450,413.84
资产减值损失（损失以“-”号填列）|七 (72)|-549,563,057.22|-321,322,244.41
资产处置收益（损失以“－”号填列）|七 (73)|1,227,153,352.16|338,329,929.76
三、营业利润（亏损以“－”号填列）||126,410,605.94|230,994,810.62
加：营业外收入|七 (74)|36,636,720.64|50,567,958.28
减：营业外支出|七 (75)|28,138,573.71|192,192,130.06
四、利润总额（亏损总额以“－”号填列）||134,908,752.87|89,370,638.84
减：所得税费用|七 (76)|-114,570,959.20|-82,407,014.21
五、净利润（净亏损以“－”号填列）||249,479,712.07|171,777,653.05
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||249,479,712.07|171,777,653.05
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||142,613,889.99|106,014,967.55
2.少数股东损益（净亏损以“-”号填列）||106,865,822.08|65,762,685.50
六、其他综合收益的税后净额|七 (77)|-6,709,763.35|-6,390,845.76
（一）归属母公司所有者的其他综合收益的税后净额||-7,326,271.46|-5,639,838.11
1．不能重分类进损益的其他综合收益||-5,147,052.82|-4,856,146.85
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-5,147,052.82|-4,856,146.85
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-2,179,218.64|-783,691.26
（1）权益法下可转损益的其他综合收益|||-1,230,793.47
（2）其他债权投资公允价值变动|||
page|74
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-2,179,218.64|447,102.21
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||616,508.11|-751,007.65
七、综合收益总额||242,769,948.72|165,386,807.29
（一）归属于母公司所有者的综合收益总额||135,287,618.53|100,375,129.44
（二）归属于少数股东的综合收益总额||107,482,330.19|65,011,677.85
八、每股收益：|||
（一）基本每股收益(元/股)||0.08|0.06
（二）稀释每股收益(元/股)||0.08|0.06
