page|151
||合并|合并|公司|公司
一、经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||310,489,824|240,052,501|-|-
吸收存款和同业存放款项净增加额||-|25,058|-|-
存放中央银行款项净减少额||1,287,927|-|-|-
向中央银行借款净增加额||178,878|-|-|-
收取利息、手续费及佣金的现金||1,889,716|1,381,851|-|-
收到的税费返还||9,968,330|6,574,762|-|-
收到其他与经营活动有关的现金|四(61)(a)|6,600,822|4,950,874|31,451,132|21,491,325
经营活动现金流入小计||330,415,497|252,985,046|31,451,132|21,491,325
购买商品、接受劳务支付的现金||(209,216,044)  (139,660,744)||-|-
发放贷款和垫款净增加额||(4,062,432)|(6,078,053)|-|-
吸收存款和同业存放款项净减少额||(9,355)|-|-|-
存放中央银行款项净增加额||-|(1,274,496)|-|-
支付利息、手续费及佣金的现金||(101,110)|(113,517)|-|-
支付给职工以及为职工支付的现金||(32,095,846)|(28,460,318)|(32,879)|(72,404)
支付的各项税费||(15,613,276)|(13,407,607)|(453,861)|(342,190)
支付其他与经营活动有关的现金|四(61)(b)|(34,225,730)|(34,433,194)|(3,996,431)|(10,178,648)
经营活动现金流出小计||(295,323,793)  (223,427,929)||(4,483,171)|(10,593,242)
经营活动产生的现金流量净额|四(61)(c)|35,091,704|29,557,117|26,967,961|10,898,083
二、投资活动产生/(使用)的现金流量|||||
收回投资收到的现金||121,628,148|141,821,724|59,767,847|103,460,300
取得投资收益所收到的现金||5,648,277|4,874,990|14,887,506|15,565,104
处置固定资产、无形资产和其他长期资产收回的现|||||
金净额||336,186|273,544|86|255
处置子公司及其他营业单位收到的现金净额||188,490|42,398|8,326|13,000
投资活动现金流入小计||127,801,101|147,012,656|74,663,765|119,038,659
购建固定资产、无形资产和其他长期资产支付的现|||||
金||(6,825,357)|(4,656,582)|(752,937)|(187,723)
投资支付的现金||(105,347,246)  (176,621,347)|||(68,932,311)  (117,386,281)
取得子公司及其他营业单位支付的现金净额||(2,028,912)|(1,045,390)|-|-
投资活动现金流出小计||(114,201,515)  (182,323,319)|||(69,685,248)  (117,574,004)
投资活动产生/(使用)的现金流量净额||13,599,586|(35,310,663)|4,978,517|1,464,655
三、筹资活动使用的现金流量|||||
吸收投资收到的现金||1,550,951|2,657,489|1,487,792|2,542,556
其中：子公司吸收少数股东投资收到的现金||63,159|114,933|-|-
取得借款收到的现金||16,033,803|18,070,961|6,800,000|6,599,314
发行短期融资券收到的现金||2,999,629|33,998,238|2,999,629|33,998,238
收到其他与筹资活动有关的现金||560,838|22,725|-|-
筹资活动现金流入小计||21,145,221|54,749,413|11,287,421|43,140,108
偿还债务支付的现金||(18,225,351)|(8,354,338)|(4,799,414)|(4,550,064)
兑付短期融资券支付的现金||(6,000,000)|(31,000,000)|(6,000,000)|(31,000,000)
分配股利、利润或偿付利息支付的现金||(12,894,125)|(12,822,636)|(13,261,677)|(12,831,949)
其中：子公司支付给少数股东的股利、利润||(426,947)|(425,461)|-|-
支付其他与筹资活动有关的现金|四(61)(d)|(15,230,284)|(3,328,734)|(13,810,829)|(2,934,420)
page|152
|美的集团股份有限公司 2021 年年度报告||||
筹资活动现金流出小计||(52,349,760)|(55,505,708)|(37,871,920)|(51,316,433)
筹资活动使用的现金流量净额||(31,204,539)|(756,295)|(26,584,499)|(8,176,325)
四、汇率变动对现金及现金等价物的影响||(485,220)|(383,411)|-|-
五、现金及现金等价物净增加/(减少)额|四(61)(c)|17,001,531|(6,893,252)|5,361,979|4,186,413
加：年初现金及现金等价物余额||23,548,508|30,441,760|16,595,063|12,408,650
六、年末现金及现金等价物余额|四(61)(e)|40,550,039|23,548,508|21,957,042|16,595,063
后附财务报表附注为财务报表的组成部分。|||||
法定代表人：                                    主管会计工作负责人：                                    会计机构负责人：|||||
|152||||
