page|116
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||219,683,581|176,929,810
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||672,416|637,692
收到其他与经营活动有关的现金|七、78|20,669,605|11,553,069
经营活动现金流入小计||241,025,602|189,120,571
购买商品、接受劳务支付的现金||171,924,851|127,774,868
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现|||
page|117
金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||10,756,129|10,764,342
支付的各项税费||9,959,403|8,974,657
支付其他与经营活动有关的现金|七、78|23,514,141|19,174,308
经营活动现金流出小计||216,154,524|166,688,175
经营活动产生的现金流量净额||24,871,078|22,432,396
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,905,220|4,125,781
取得投资收益收到的现金||1,517,500|1,156,443
处置固定资产、无形资产和其他长期资产收回的现金净额||491,883|3,572,926
处置子公司及其他营业单位收到的现金净额|七、78|35,469|
收到其他与投资活动有关的现金|七、78|1,808,961|2,578,553
投资活动现金流入小计||7,759,033|11,433,703
购建固定资产、无形资产和其他长期资产支付的现金||11,367,855|10,689,581
投资支付的现金||2,158,578|6,456,803
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||135,061|591,926
支付其他与投资活动有关的现金|七、78|69,528|96,588
投资活动现金流出小计||13,731,022|17,834,898
投资活动产生的现金流量净额||-5,971,989|-6,401,195
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||925,720|6,429,028
其中：子公司吸收少数股东投资收到的现金||925,720|34,344
取得借款收到的现金||25,487,129|36,127,942
收到其他与筹资活动有关的现金||59,211|330,841
筹资活动现金流入小计||26,472,060|42,887,811
偿还债务支付的现金||28,902,743|43,066,051
分配股利、利润或偿付利息支付的现金||11,930,939|7,935,410
其中：子公司支付给少数股东的股利、利润||1,299,784|502,889
支付其他与筹资活动有关的现金|七、78|9,010,260|1,737,420
筹资活动现金流出小计||49,843,942|52,738,881
筹资活动产生的现金流量净额||-23,371,882|-9,851,070
page|118
四、汇率变动对现金及现金等价物的影响||-77,525|119,555
五、现金及现金等价物净增加额|七、79|-4,550,318|6,299,686
加：期初现金及现金等价物余额|七、79|27,372,942|21,073,256
六、期末现金及现金等价物余额|七、79|22,822,624|27,372,942
