page|63
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,637,932,693.39|1,465,639,774.29
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||11,008,952.10|9,414,285.56
收到其他与经营活动有关的现金|七、78|50,159,618.68|75,214,351.15
经营活动现金流入小计||1,699,101,264.17|1,550,268,411.00
购买商品、接受劳务支付的现金||1,158,832,681.73|1,093,110,113.59
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||194,805,742.49|183,540,268.11
支付的各项税费||68,961,673.37|78,724,646.82
支付其他与经营活动有关的现金|七、78|129,488,645.76|100,687,787.17
经营活动现金流出小计||1,552,088,743.35|1,456,062,815.69
经营活动产生的现金流量净额||147,012,520.82|94,205,595.31
二、投资活动产生的现金流量：|||
收回投资收到的现金||350,000,000.00|
取得投资收益收到的现金||4,578,343.51|16,943,928.92
处置固定资产、无形资产和其他长期资产收回的现金净额||260,078.47|234,146.46
page|64
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78|6,300,000.00|
投资活动现金流入小计||361,138,421.98|17,178,075.38
购建固定资产、无形资产和其他长期资产支付的现金||98,981,999.53|34,350,169.84
投资支付的现金|||76,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||196,312,199.57|21,965,189.58
支付其他与投资活动有关的现金|七、78|16,500,000.00|7,000,000.00
投资活动现金流出小计||311,794,199.10|139,315,359.42
投资活动产生的现金流量净额||49,344,222.88|-122,137,284.04
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||170,800,000.00|151,800,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||170,800,000.00|151,800,000.00
偿还债务支付的现金||221,700,000.00|132,800,000.00
分配股利、利润或偿付利息支付的现金||12,309,704.42|40,665,812.23
其中：子公司支付给少数股东的股利、利润||8,481,270.95|3,371,939.68
支付其他与筹资活动有关的现金|七、78|110,908,628.32|80,511,913.05
筹资活动现金流出小计||344,918,332.74|253,977,725.28
筹资活动产生的现金流量净额||-174,118,332.74|-102,177,725.28
四、汇率变动对现金及现金等价物的影响||-295.70|-214.94
五、现金及现金等价物净增加额||22,238,115.26|-130,109,628.95
加：期初现金及现金等价物余额||297,727,438.13|427,837,067.08
六、期末现金及现金等价物余额||319,965,553.39|297,727,438.13
