page|46
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日（经重述）
流动资产：|||
货币资金|四(1)|12,417,748,874.34|13,209,278,023.30
结算备付金|||
拆出资金|||
交易性金融资产|||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|四(4)、八(6)(a)|1,400,903,488.47|1,317,927,034.97
应收账款|四(5)、八(6)(a)|2,289,055,966.40|2,278,680,400.36
应收款项融资|四(6)|20,278,856.41|
预付款项|四(7)、八(6)(a)|2,017,761,051.82|1,484,342,262.55
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|四(8)、八(6)(a)|250,256,217.68|366,401,189.24
其中：应收利息||46,794,603.55|53,751,585.81
应收股利||28,263,240.00|151,516,299.00
买入返售金融资产|||
存货|四(9)|8,722,623,906.05|8,981,155,438.82
合同资产|四(10)|1,390,047,641.90|562,892,072.42
持有待售资产|||
一年内到期的非流动资产|四(12)|10,811,313.77|11,513,498.46
其他流动资产|四(13)|187,215,393.88|238,168,694.62
流动资产合计||28,706,702,710.72|28,450,358,614.74
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||
其他债权投资|||
持有至到期投资|||
长期应收款|四(16)|3,519,659.14|3,034,497.84
长期股权投资|四(19)|2,476,523,003.68|2,341,778,052.88
其他权益工具投资|||
其他非流动金融资产|四(18)|274,927,086.87|249,968,236.75
投资性房地产|四(20)|84,909,429.55|89,297,111.71
固定资产|四(21)|1,684,318,550.40|1,531,094,117.87
在建工程|四(22)|179,000,817.07|278,078,835.72
生产性生物资产|||
油气资产|||
使用权资产|四(25)|77,081,972.18|
page|47
无形资产|四(26)|351,608,964.87|362,401,783.69
开发支出|||
商誉|||
长期待摊费用|四(29)|2,811,679.13|22,425,197.06
递延所得税资产|四(30)|344,575,436.83|332,491,481.31
其他非流动资产||1,591,566.08|660,288.43
非流动资产合计||5,480,868,165.80|5,211,229,603.26
资产总计||34,187,570,876.52|33,661,588,218.00
流动负债：|||
短期借款|四(33)|42,847,286.59|39,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|四(36)、八(6)(b)|147,928,861.33|113,791,290.47
应付账款|四(37)、八(6)(b)|3,130,991,477.21|2,785,145,291.37
预收款项||681,715.24|2,000.00
合同负债|四(39)、八(6)(b)|14,710,515,129.88|15,353,111,787.61
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|四(40)|739,259,880.19|483,907,885.83
应交税费|四(41)|123,857,889.07|222,582,408.43
其他应付款|四(42)、八(6)(b)|1,118,103,581.89|1,071,958,383.01
其中：应付利息|||
应付股利||184,015.48|184,592.69
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|四(44)|26,115,304.16|104,185.00
其他流动负债|四(45)|81,672,979.28|86,413,026.08
流动负债合计||20,121,974,104.84|20,156,016,257.80
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|四(48)|30,895,630.62|
长期应付款||143,000.00|143,000.00
长期应付职工薪酬|四(50)|107,685,457.26|115,358,620.47
预计负债|||
递延收益|四(52)|189,671,409.40|198,869,564.88
递延所得税负债|四(30)|66,953,499.25|61,574,415.85
其他非流动负债|||
page|48
非流动负债合计||395,348,996.53|375,945,601.20
负债合计||20,517,323,101.37|20,531,961,859.00
所有者权益（或股东权益）：|||
实收资本（或股本）|四(54)|1,022,739,308.00|1,022,739,308.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|四(56)|2,037,587,596.23|2,038,642,490.52
减：库存股|||
其他综合收益|四(58)|741,088.00|629,797.03
专项储备||7,623,375.69|7,867,938.52
盈余公积|四(60)|1,320,646,920.66|1,320,646,920.66
一般风险准备|||
未分配利润|四(61)|6,985,932,398.25|6,413,591,829.21
归属于母公司所有者权益（或股东权益）合计||11,375,270,686.83|10,804,118,283.94
少数股东权益||2,294,977,088.32|2,325,508,075.06
所有者权益（或股东权益）合计||13,670,247,775.15|13,129,626,359.00
负债和所有者权益（或股东权益）总计||34,187,570,876.52|33,661,588,218.00
