page|80
项目|附注五|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|3,465,791,173|3,342,403,447
交易性金融资产|2|4,511,248,067|1,749,722,574
应收票据|3|44,244,578|208,164,606
应收账款|4|10,305,533,467|8,015,313,025
应收款项融资|5|40,580,000|24,739,742
预付款项|6|132,787,929|127,705,409
其他应收款|7|265,183,486|259,866,017
存货|8|1,424,673,901|1,379,777,492
合同资产|9|262,594,465|0
一年内到期的非流动资产|21|45,086,312|35,580,599
其他流动资产|10|2,531,931,751|6,565,654,666
流动资产合计||23,029,655,129|21,708,927,577
非流动资产：|||
长期股权投资|11|880,583,152|679,162,332
其他非流动金融资产|12|0|0
固定资产|13|46,852,986,210|49,263,051,870
在建工程|14|1,913,743,081|1,522,838,848
使用权资产|15|987,133,655|不适用
无形资产|16|406,142,627|337,893,585
开发支出|17|150,336,420|92,426,319
商誉|18|0|0
长期待摊费用|19|1,450,301,983|746,125,339
递延所得税资产|20|92,468,008|65,869,485
其他非流动资产|21|338,487,906|270,709,207
非流动资产合计||53,072,183,042|52,978,076,985
资产总计||76,101,838,171|74,687,004,562
流动负债：|||
短期借款|22|2,443,946,195|1,374,822,860
应付票据|23|3,466,634|50,266,000
应付账款|24|9,690,152,749|8,275,052,464
合同负债|25|255,305,683|154,410,213
应付职工薪酬|26|979,228,368|909,174,212
应交税费|27|934,648,993|768,132,889
其他应付款|28|254,003,703|207,618,296
一年内到期的非流动负债|29|5,016,855,358|5,069,488,848
其他流动负债|30|251,212,893|202,078,181
流动负债合计||19,828,820,576|17,011,043,963
非流动负债：|||
长期借款|31|201,049,392|787,630,650
page|81
应付债券|32|17,928,478,300|21,069,891,833
租赁负债|33|547,571,865|不适用
长期应付款|34|28,686,581|23,633,374
递延收益|35|401,554,262|522,838,540
递延所得税负债|20|62,654,805|286,559,961
其他非流动负债|36|192,745,166|308,000,380
非流动负债合计||19,362,740,371|22,998,554,738
负债合计||39,191,560,947|40,009,598,701
股东权益：|||
股本|37|4,771,592,000|4,771,592,000
资本公积|38|12,366,274,941|12,366,274,941
其他综合收益|39|-108,680,691|-150,482,062
盈余公积|40|2,508,655,960|2,508,655,960
未分配利润|41|17,196,349,188|15,033,835,040
归属于母公司股东权益合计||36,734,191,398|34,529,875,879
少数股东权益||176,085,826|147,529,982
股东权益合计||36,910,277,224|34,677,405,861
负债和股东权益总计||76,101,838,171|74,687,004,562
