page|84
项目|附注 五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||30,634,446,980|21,526,597,769
page|85
取得政府补助及补贴||89,781,236|123,948,758
收到的税费返还||88,266,318|65,525,812
经营活动现金流入小计||30,812,494,534|21,716,072,339
购买商品、接受劳务支付的现金||15,288,786,687|10,685,243,819
支付给职工以及为职工支付的现金||5,740,838,225|4,933,724,813
支付的各项税费||1,979,874,936|981,039,949
支付其他与经营活动有关的现金|56|834,653,510|943,702,108
经营活动现金流出小计||23,844,153,358|17,543,710,689
经营活动产生的现金流量净额|57|6,968,341,176|4,172,361,650
二、投资活动产生的现金流量：|||
收回投资所收到的现金||12,141,522,958|9,841,607,920
取得投资收益收到的现金||411,173,899|314,927,364
取得存款利息收入所收到的现金||69,414,149|123,798,900
处置固定资产、无形资产和其他长期资产收回的现金||25,702,619|564,069,575
收到其他与投资活动有关的现金||0|13,726,400
投资活动现金流入小计||12,647,813,625|10,858,130,159
购建固定资产、无形资产和其他长期资产所支付的现金||3,002,293,738|2,520,017,844
取得其他投资所支付的现金||10,800,000,000|15,395,967,193
投资活动现金流出小计||13,802,293,738|17,915,985,037
投资活动产生的现金流量净额||-1,154,480,113|-7,057,854,878
三、筹资活动产生的现金流量：|||
取得借款收到的现金||1,017,120,000|0
筹资活动现金流入小计||1,017,120,000|0
偿还债务所支付的现金||5,237,045,866|1,725,545,550
同一控制下企业合并支付的现金||0|44,525,060
分配股利所支付的现金||334,011,440|286,295,520
偿还利息所支付的现金||1,097,824,214|1,004,122,710
筹资活动现金流出小计||6,668,881,520|3,060,488,840
筹资活动产生的现金流量净额||-5,651,761,520|-3,060,488,840
四、汇率变动对现金及现金等价物的影响||31,879,859|106,517,244
五、现金及现金等价物净增加额||193,979,402|-5,839,464,824
加：期初现金及现金等价物余额||3,169,609,368|9,009,074,192
六、期末现金及现金等价物余额|57|3,363,588,770|3,169,609,368
