page|82
项目|附注五|2019 年度|2018 年度
一、营业总收入||31,135,149,996|21,945,877,580
其中：营业收入|42|31,135,149,996|21,945,877,580
二、营业总成本||27,961,334,412|21,648,683,837
其中：营业成本|42|25,291,543,411|19,543,678,809
税金及附加|43|59,311,837|59,249,347
销售费用|44|34,240,841|27,105,259
管理费用|45|704,177,117|660,245,467
page|83
研发费用||932,656,023|742,102,607
财务费用|46|939,405,183|616,302,348
其中：利息费用||1,071,874,123|1,072,270,640
利息收入||67,521,240|107,552,030
加：其他收益||262,509,092|187,738,501
投资收益（损失以“－”号填列）|47|538,665,791|349,017,957
其中：对合营企业的投资收益||320,452,032|184,287,516
公允价值变动收益（损失以“－”号填列）||-38,829,341|49,440,725
信用减值损失（损失以“-”号填列）|49|-316,323,567|-415,364,367
资产减值损失（损失以“-”号填列）|48|-247,640,323|-127,628,711
资产处置收益（损失以“－”号填列）|50|75,206,761|315,945,304
三、营业利润（亏损以“－”号填列）||3,447,403,997|656,343,152
加：营业外收入|51|205,502,109|147,274,350
减：营业外支出|52|180,732,039|97,288,818
四、利润总额（亏损总额以“－”号填列）||3,472,174,067|706,328,684
减：所得税费用|53|944,158,798|617,656,702
五、净利润（净亏损以“－”号填列）||2,528,015,269|88,671,982
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,528,015,269|88,671,982
2.终止经营净利润（净亏损以“－”号填列）||0|0
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||2,502,238,023|70,802,324
2.少数股东损益（净亏损以“-”号填列）||25,777,246|17,869,658
六、其他综合收益的税后净额|55|44,579,969|198,422,407
归属于母公司股东的其他综合收益的税后净额||41,801,371|191,689,511
（一）不能重分类进损益的其他综合收益||-1,378,783|-3,284,477
1.重新计量设定受益计划变动额||-1,378,783|-3,284,477
（二）将重分类进损益的其他综合收益||43,180,154|194,973,988
1.权益法下可转损益的其他综合收益||7,157,018|4,564,469
2.外币财务报表折算差额||36,023,136|190,409,519
归属于少数股东的其他综合收益的税后净额||2,778,598|6,732,896
七、综合收益总额||2,572,595,238|287,094,389
归属于母公司所有者的综合收益总额||2,544,039,394|262,491,835
归属于少数股东的综合收益总额||28,555,844|24,602,554
八、每股收益：|||
（一）基本每股收益(元/股)|54|0.5244|0.0148
