page|126
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||13,248,082,956.01|21,037,024,386.50
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||29,628.51|
page|127
收到其他与经营活动有关的现金|76|424,651,267.17|584,696,603.01
经营活动现金流入小计||13,672,763,851.69|21,621,720,989.51
购买商品、接受劳务支付的现金||8,329,102,923.81|16,963,969,067.32
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||893,528,987.65|998,550,711.93
支付的各项税费||537,865,955.71|1,878,060,784.63
支付其他与经营活动有关的现金|76|1,030,220,998.44|1,475,523,698.19
经营活动现金流出小计||10,790,718,865.61|21,316,104,262.07
经营活动产生的现金流量净额||2,882,044,986.08|305,616,727.44
二、投资活动产生的现金流量：|||
收回投资收到的现金||320,000,000.00|
取得投资收益收到的现金|||12,000,000.00
处置固定资产、无形资产和其他长期资产收回的现金净额||3,601,129.74|1,512,242.50
处置子公司及其他营业单位收到的现金净额||29,254,147.38|
收到其他与投资活动有关的现金|||
投资活动现金流入小计||352,855,277.12|13,512,242.50
购建固定资产、无形资产和其他长期资产支付的现金||473,204,662.42|4,593,296,419.68
投资支付的现金||6,951,374.67|1,500,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||69,284,491.07
支付其他与投资活动有关的现金|76|41,459,263.56|
投资活动现金流出小计||521,615,300.65|4,664,080,910.75
投资活动产生的现金流量净额||-168,760,023.53|-4,650,568,668.25
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||3,445,000.00|4,818,959.34
其中：子公司吸收少数股东投资收到的现金||3,445,000.00|4,818,959.34
取得借款收到的现金||11,175,722,000.00|34,737,040,000.00
page|128
收到其他与筹资活动有关的现金|76|31,191,003.59|21,663,831.05
筹资活动现金流入小计||11,210,358,003.59|34,763,522,790.39
偿还债务支付的现金||12,700,978,109.66|29,619,646,000.00
分配股利、利润或偿付利息支付的现金||2,547,607,161.85|3,015,938,353.89
其中：子公司支付给少数股东的股利、利润||861,142.21|
支付其他与筹资活动有关的现金|76|6,880,217.70|138,339,976.36
筹资活动现金流出小计||15,255,465,489.21|32,773,924,330.25
筹资活动产生的现金流量净额||-4,045,107,485.62|1,989,598,460.14
四、汇率变动对现金及现金等价物的影响||350,399.69|218,420.84
五、现金及现金等价物净增加额||-1,331,472,123.38|-2,355,135,059.83
加：期初现金及现金等价物余额||1,743,304,062.73|4,098,439,122.56
六、期末现金及现金等价物余额||411,831,939.35|1,743,304,062.73
