page|122
项目|附注七|2019 年度|2018 年度
一、营业总收入||11,445,545,810.05|17,065,079,139.45
其中：营业收入|59|11,445,545,810.05|17,065,079,139.45
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||14,821,121,522.90|16,251,950,197.40
其中：营业成本|59|9,935,094,405.05|11,619,347,151.87
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
page|123
税金及附加|60|217,626,030.14|194,273,251.58
销售费用|61|1,119,454,690.25|1,188,221,628.35
管理费用|62|1,176,535,320.16|1,220,409,693.14
研发费用|63|110,056,696.79|142,259,557.48
财务费用|64|2,262,354,380.51|1,887,438,914.98
其中：利息费用||2,248,546,725.87|1,837,960,448.53
利息收入||5,235,048.86|17,896,188.94
加：其他收益|65|64,739,461.11|64,179,364.65
投资收益（损失以“－”号填列）|66|767,705,283.12|48,517,793.05
其中：对联营企业和合营企业的投资收益|66|83,400,982.20|48,517,793.05
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|69|-180,861,935.00|
资产减值损失（损失以“-”号填列）|70|-1,126,038,320.40|-238,989,143.67
资产处置收益（损失以“－”号填列）|71|-19,029,146.92|83,750.99
三、营业利润（亏损以“－”号填列）||-3,869,060,370.94|686,920,707.07
加：营业外收入|72|25,969,424.47|12,625,850.58
减：营业外支出|73|547,988,573.25|27,064,605.57
四、利润总额（亏损总额以“－”号填列）||-4,391,079,519.72|672,481,952.08
减：所得税费用|74|264,127,648.11|302,440,788.66
五、净利润（净亏损以“－”号填列）||-4,655,207,167.83|370,041,163.42
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-4,655,207,167.83|370,041,163.42
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-4,660,675,038.43|374,492,320.97
2.少数股东损益（净亏损以“-”号填列）||5,467,870.60|-4,451,157.55
六、其他综合收益的税后净额||2,027,899.70|1,571,159.71
（一）归属母公司所有者的其他综合收益的税后净额||2,058,109.20|1,571,159.71
1．不能重分类进损益的其他综合收益||-40,045.16|
page|124
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-40,045.16|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||2,098,154.36|1,571,159.71
（1）权益法下可转损益的其他综合收益||1,572,986.29|1,343,797.52
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||525,168.07|227,362.19
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-30,209.50|
七、综合收益总额||-4,653,179,268.13|371,612,323.13
（一）归属于母公司所有者的综合收益总额||-4,658,616,929.23|376,063,480.68
（二）归属于少数股东的综合收益总额||5,437,661.10|-4,451,157.55
八、每股收益：|||
（一）基本每股收益(元/股)||-0.9896|0.0303
（二）稀释每股收益(元/股)||-0.9896|0.0301
